MS,MS Name,CCI,Ver,Title,Fund,Priority,TO,To short,Category of region,EAFRD MEASURE,EAFRD FA,EU Amount,National Amount,Total Amount,EU co-financing,TO long
BE,Belgium,2014BE06RDRP001,1.3,Belgium - Rural Development Programme (Regional) - Flanders,EAFRD,P4,1,Research & Innovation,n.a.,M02,FA_P4,4280437,2325000,6605437,64.8%,"Strengthening research, technological development and innovation"
BE,Belgium,2014BE06RDRP001,1.3,Belgium - Rural Development Programme (Regional) - Flanders,EAFRD,P4,1,Research & Innovation,n.a.,M16,FA_P4,207148,150000,357148,58%,"Strengthening research, technological development and innovation"
BE,Belgium,2014BE06RDRP001,1.3,Belgium - Rural Development Programme (Regional) - Flanders,EAFRD,P5,1,Research & Innovation,n.a.,M16,FA_5B,172623,125000,297623,58%,"Strengthening research, technological development and innovation"
BE,Belgium,2014BE06RDRP001,1.3,Belgium - Rural Development Programme (Regional) - Flanders,EAFRD,P6,1,Research & Innovation,n.a.,M16,FA_6B,250000,250000,500000,50%,"Strengthening research, technological development and innovation"
BE,Belgium,2014BE06RDRP002,1.4,Belgium - Rural Development Programme (Regional) - Wallonia,EAFRD,P6,1,Research & Innovation,n.a.,M16,FA_6A,2625000,2375000,5000000,52.5%,"Strengthening research, technological development and innovation"
BE,Belgium,2014BE06RDRP002,1.4,Belgium - Rural Development Programme (Regional) - Wallonia,EAFRD,P6,1,Research & Innovation,n.a.,M16,FA_6B,2956400,2674838.1,5631238.1,52.5%,"Strengthening research, technological development and innovation"
BE,Belgium,2014BE16RFOP001,1.2,OP Brussels Capital Region,ERDF,Axe 1,1,Research & Innovation,More developed,n.a.,n.a.,18177016,18177016,36354032,50%,"Strengthening research, technological development and innovation"
BE,Belgium,2014BE16RFOP002,1.2,OP Flanders,ERDF,1,1,Research & Innovation,More developed,n.a.,n.a.,69546999,104320499,173867498,40%,"Strengthening research, technological development and innovation"
BE,Belgium,2014BE16RFOP003,1.2,OP Wallonia,ERDF,2,1,Research & Innovation,More developed,n.a.,n.a.,11653667,17480501,29134168,40%,"Strengthening research, technological development and innovation"
BE,Belgium,2014BE16RFOP003,1.2,OP Wallonia,ERDF,2,1,Research & Innovation,Transition,n.a.,n.a.,164138778,246208168,410346946,40%,"Strengthening research, technological development and innovation"
BG,Bulgaria,2014BG05M2OP001,1.3,Operational Programme Science and Education for Smart Growth ,ERDF,1,1,Research & Innovation,Less developed,n.a.,n.a.,243381138,42949613,286330751,85%,"Strengthening research, technological development and innovation"
BG,Bulgaria,2014BG06RDNP001,1.4,Bulgaria - Rural Development Programme (National),EAFRD,P2,1,Research & Innovation,n.a.,M02,FA_2A,12431250,2193750,14625000,85%,"Strengthening research, technological development and innovation"
BG,Bulgaria,2014BG06RDNP001,1.4,Bulgaria - Rural Development Programme (National),EAFRD,P2,1,Research & Innovation,n.a.,M02,FA_2B,1148957,202757.12,1351714.12,85%,"Strengthening research, technological development and innovation"
BG,Bulgaria,2014BG06RDNP001,1.4,Bulgaria - Rural Development Programme (National),EAFRD,P2,1,Research & Innovation,n.a.,M16,FA_2A,7000000,777777.78,7777777.78,90%,"Strengthening research, technological development and innovation"
BG,Bulgaria,2014BG06RDNP001,1.4,Bulgaria - Rural Development Programme (National),EAFRD,P3,1,Research & Innovation,n.a.,M02,FA_3A,836400,147600,984000,85%,"Strengthening research, technological development and innovation"
BG,Bulgaria,2014BG06RDNP001,1.4,Bulgaria - Rural Development Programme (National),EAFRD,P3,1,Research & Innovation,n.a.,M02,FA_3B,127500,22500,150000,85%,"Strengthening research, technological development and innovation"
BG,Bulgaria,2014BG06RDNP001,1.4,Bulgaria - Rural Development Programme (National),EAFRD,P3,1,Research & Innovation,n.a.,M16,FA_3A,8600000,955555.56,9555555.56,90%,"Strengthening research, technological development and innovation"
BG,Bulgaria,2014BG06RDNP001,1.4,Bulgaria - Rural Development Programme (National),EAFRD,P4,1,Research & Innovation,n.a.,M02,FA_P4,1126520,198797.65,1325317.65,85%,"Strengthening research, technological development and innovation"
BG,Bulgaria,2014BG06RDNP001,1.4,Bulgaria - Rural Development Programme (National),EAFRD,P4,1,Research & Innovation,n.a.,M16,FA_P4,8716351,968483.44,9684834.44,90%,"Strengthening research, technological development and innovation"
BG,Bulgaria,2014BG06RDNP001,1.4,Bulgaria - Rural Development Programme (National),EAFRD,P5,1,Research & Innovation,n.a.,M02,FA_5A,178500,31500,210000,85%,"Strengthening research, technological development and innovation"
BG,Bulgaria,2014BG06RDNP001,1.4,Bulgaria - Rural Development Programme (National),EAFRD,P5,1,Research & Innovation,n.a.,M02,FA_5B,397035,70065,467100,85%,"Strengthening research, technological development and innovation"
BG,Bulgaria,2014BG06RDNP001,1.4,Bulgaria - Rural Development Programme (National),EAFRD,P5,1,Research & Innovation,n.a.,M02,FA_5C,183222,32333.29,215555.29,85%,"Strengthening research, technological development and innovation"
BG,Bulgaria,2014BG06RDNP001,1.4,Bulgaria - Rural Development Programme (National),EAFRD,P5,1,Research & Innovation,n.a.,M02,FA_5D,243015,42885,285900,85%,"Strengthening research, technological development and innovation"
BG,Bulgaria,2014BG06RDNP001,1.4,Bulgaria - Rural Development Programme (National),EAFRD,P5,1,Research & Innovation,n.a.,M02,FA_5E,235875,41625,277500,85%,"Strengthening research, technological development and innovation"
BG,Bulgaria,2014BG06RDNP001,1.4,Bulgaria - Rural Development Programme (National),EAFRD,P5,1,Research & Innovation,n.a.,M16,FA_5A,1000000,111111.11,1111111.11,90%,"Strengthening research, technological development and innovation"
BG,Bulgaria,2014BG06RDNP001,1.4,Bulgaria - Rural Development Programme (National),EAFRD,P5,1,Research & Innovation,n.a.,M16,FA_5B,1000000,111111.11,1111111.11,90%,"Strengthening research, technological development and innovation"
BG,Bulgaria,2014BG06RDNP001,1.4,Bulgaria - Rural Development Programme (National),EAFRD,P5,1,Research & Innovation,n.a.,M16,FA_5C,1000000,111111.11,1111111.11,90%,"Strengthening research, technological development and innovation"
BG,Bulgaria,2014BG06RDNP001,1.4,Bulgaria - Rural Development Programme (National),EAFRD,P5,1,Research & Innovation,n.a.,M16,FA_5D,1000000,111111.11,1111111.11,90%,"Strengthening research, technological development and innovation"
BG,Bulgaria,2014BG06RDNP001,1.4,Bulgaria - Rural Development Programme (National),EAFRD,P5,1,Research & Innovation,n.a.,M16,FA_5E,1000000,111111.11,1111111.11,90%,"Strengthening research, technological development and innovation"
BG,Bulgaria,2014BG16RFOP002,2.1,Operational programme “Innovations and Competitiveness”,ERDF,1,1,Research & Innovation,Less developed,n.a.,n.a.,250990169,44292383,295282552,85%,"Strengthening research, technological development and innovation"
CY,Cyprus,2014CY06RDNP001,1.3,Cyprus Rural Development Programme 2014-2020,EAFRD,P2,1,Research & Innovation,n.a.,M16,FA_2A,397500,352500,750000,53%,"Strengthening research, technological development and innovation"
CY,Cyprus,2014CY06RDNP001,1.3,Cyprus Rural Development Programme 2014-2020,EAFRD,P3,1,Research & Innovation,n.a.,M16,FA_3A,795000,705000,1500000,53%,"Strengthening research, technological development and innovation"
CY,Cyprus,2014CY06RDNP001,1.3,Cyprus Rural Development Programme 2014-2020,EAFRD,P4,1,Research & Innovation,n.a.,M16,FA_P4,198750,176250,375000,53%,"Strengthening research, technological development and innovation"
CY,Cyprus,2014CY06RDNP001,1.3,Cyprus Rural Development Programme 2014-2020,EAFRD,P5,1,Research & Innovation,n.a.,M16,FA_5A,119250,105750,225000,53%,"Strengthening research, technological development and innovation"
CY,Cyprus,2014CY06RDNP001,1.3,Cyprus Rural Development Programme 2014-2020,EAFRD,P5,1,Research & Innovation,n.a.,M16,FA_5B,79500,70500,150000,53%,"Strengthening research, technological development and innovation"
CY,Cyprus,2014CY16M1OP001,1.3,Competitiveness and sustainable development,ERDF,1,1,Research & Innovation,More developed,n.a.,n.a.,70000000,12352941,82352941,85%,"Strengthening research, technological development and innovation"
CZ,Czech Republic,2014CZ05M2OP001,1.3,"OP Research, Development and Education",ERDF,1,1,Research & Innovation,Less developed,n.a.,n.a.,933665654,164764528,1098430182,85%,"Strengthening research, technological development and innovation"
CZ,Czech Republic,2014CZ05M2OP001,1.3,"OP Research, Development and Education",ERDF,1,1,Research & Innovation,More developed,n.a.,n.a.,72347982,72347982,144695964,50%,"Strengthening research, technological development and innovation"
CZ,Czech Republic,2014CZ06RDNP001,1.3,Czech Republic - Rural Development Programme (National),EAFRD,P2,1,Research & Innovation,n.a.,M02,FA_2A,500000,166666.67,666666.67,75%,"Strengthening research, technological development and innovation"
CZ,Czech Republic,2014CZ06RDNP001,1.3,Czech Republic - Rural Development Programme (National),EAFRD,P2,1,Research & Innovation,n.a.,M16,FA_2A,25446643,8482214.33,33928857.33,75%,"Strengthening research, technological development and innovation"
