EJERCICIO;GASTO/INGRESO;ORIGEN;FONDO;FINANCIACION;DESCRIPCION CORTA;DESCRIPCION LARGA
2007;G;1;;;UNIÓN EUROPEA;UNIÓN EUROPEA
2007;G;3;;;ADMINISTR. CENTRAL;ADMINISTRACIÓN CENTRAL
2007;G;5;;;OTRAS ADMIN PÚBLICAS;OTRAS ADMINISTRACIONES PÚBLICAS
2007;G;7;;;ENTES PRIVADOS;ENTES PRIVADOS
2007;G;9;;;RECURSOS PROPIOS;RECURSOS PROPIOS
2007;G;1;11;;FONDO SOCIAL EUROPEO;FONDO SOCIAL EUROPEO
2007;G;1;12;;FEAGA  - FEADER;FEOGA GARANTÍA
2007;G;1;13;;FEOGA ORIENTACIÓN;FEOGA ORIENTACIÓN
2007;G;1;14;;F.E.D.E.R.;FONDO EUROPEO DE DESARROLLO REGIONAL
2007;G;1;15;;IFOP - FEP;INSTRUMENTO FINANCIERO DE ORDENACIÓN PESQUERA - FONDO EUROPEO DE PESCA
2007;G;1;16;;FONDOS DE COHESIÓN;FONDOS DE COHESIÓN
2007;G;1;19;;OTR.AYUDAS EUROPEAS;OTRAS AYUDAS EUROPEAS
2007;G;3;32;;PLANES ESPECÍFICOS;PLANES ESPECÍFICOS
2007;G;3;33;;CONF SECT DE EMPLEO;CONFERENCIA SECTORIAL DE EMPLEO
2007;G;3;34;;CONF SECT DE AGRIC.;CONFERENCIA SECTORIAL DE AGRICULTURA
2007;G;3;35;;CONF SECT DE S.SOC.;CONFERENCIA SECTORIAL DE SERVICIOS SOCIALES
2007;G;3;36;;CONF SECT DE M.AMB.;CONFERENCIA SECTORIAL DE MEDIO AMBIENTE
2007;G;3;39;;OTR SUBV. ADM.CENTR.;OTRAS SUBVENCIONES DE LA ADMINISTRACIÓN CENTRAL
2007;G;5;51;;DIPUTACIONES PROVINCIALES;DIPUTACIONES PROVINCIALES
2007;G;5;55;;C.A. ARAGÓN;COMUNIDAD AUTÓNOMA DE ARAGÓN
2007;G;7;71;;ENTES PRIV.FINAN.;ENTES PRIVADOS FINANCIEROS
2007;G;7;72;;ENTES PRIV.NO FINAN.;ENTES PRIVADOS NO FINANCIEROS
2007;G;9;91;;RECURSOS PROPIOS;RECURSOS PROPIOS
2007;G;1;11;11001;FSE OBJ 3. EJE 1;FONDO SOCIAL EUROPEO. PROGRAMA OPERATIVO OBJETIVO 3. EJE 1
2007;G;1;11;11002;FSE OBJ 3 EJ 2 3 5 8;FONDO SOCIAL EUROPEO. PROGRAMA OPERATIVO OBJETIVO 3. EJES 2, 3, 5 Y 8
2007;G;1;11;11003;FSE OBJ 3 EJES 6 7 9;FONDO SOCIAL EUROPEO. PROGRAMA OPERATIVO OBJETIVO 3. EJES 6, 7 Y 9
2007;G;1;11;11004;FSE OBJ 3 EJ 7 GL;FONDO SOCIAL EUROPEO. PROGRAMA OPERATIVO OBJETIVO 3. EJE 7 SUBVENCIÓN GLOBAL
2007;G;1;11;11005;FSE PR PL SIS F PROF;FONDO SOCIAL EUROPEO. PROGRAMAS PLURIREGIONALES SISTEMA DE FORMACIÓN PROFESIONAL
2007;G;1;11;11006;FSE PR  PL IN EMP FC;FONDO SOCIAL EUROPEO. PROGRAMAS PLURIREGIONALES INICIATIVA EMPRESARIAL Y FORMACIÓN CONTINUA
2007;G;1;11;11007;FSE PR PL LUCH DISCR;FONDO SOCIAL EUROPEO. PROGRAMAS PLURIREGIONALES LUCHA CONTRA LA DISCRIMINACIÓN
2007;G;1;11;11008;FSE PR PLURI FOM EMP;FONDO SOCIAL EUROPEO. PROGRAMAS PLURIREGIONALES FOMENTO DE EMPLEO
2007;G;1;11;11009;I C EQUAL;INICIATIVA COMUNITARIA EQUAL
2007;G;1;11;11101;PROG.OP. FSE 2007-2013;PROGRAMA OPERATIVO FONDO SOCIAL EUROPEO 2007-2013
2007;G;1;12;12001;PAC;POLÍTICA AGRARIA COMUNITARIA
2007;G;1;12;12002;FEOGA PDR;FEOGA PLAN DESARROLLO RURAL
2007;G;1;12;12003;FEOGA MEJ ESTR PROD;FEOGA MEJORA ESTRUCTURAS DE PRODUCCIÓN
2007;G;1;12;12004;FEOGA MEDIDAS ACOMP;FEOGA MEDIDAS ACOMPAÑAMIENTO
2007;G;1;12;12005;OTR SUBV FEOGA GARAN;OTRAS SUBVENCIONES DEL FEOGA GARANTÍA
2007;G;1;12;12101;FEAGA GARANTÍA;FEAGA  GARANTÍA
2007;G;1;12;12102;FEADER;FEADER
2007;G;1;13;13001;FEOGA ORIENTACIÓN;FEOGA ORIENTACIÓN
2007;G;1;14;14001;FEDER DOCUP OBJ 2;F.E.D.E.R. DOCUP OBJETIVO 2
2007;G;1;14;14002;I C INTERREG III;INICIATIVA COMUNITARIA INTERREG III
2007;G;1;14;14003;FEDER - ACCIONES FSE;FEDER - ACCIONES FSE
2007;G;1;14;14101;PROG.OP. FEDER 2007-2013;PROGRAMA OPERATIVO FEDER 2007-2013
2007;G;1;15;15001;IFOP;INSTRUMENTO FINANCIERO DE ORDENACIÓN PESQUERA
2007;G;1;15;15101;FONDO EUROPEO DE PESCA;FONDO EUROPEO DE PESCA
2007;G;1;16;16001;FONDO DE COHESIÓN;FONDO DE COHESIÓN
2007;G;1;19;19001;U E  PUNTO INF EUROP;UNION EUROPEA  (PUNTO INFORMACIÓN EUROPEA)
2007;G;1;19;19002;CONV UE PRUEBAS COMP;CONVENIO UE PRUEBAS COMPARATIVAS
2007;G;1;19;19003;PROGRAMA LIFE;Programa Life
2007;G;1;19;19090;OTROS PROGRAMAS UE;OTROS PROGRAMAS CON FINANCIACION UE
2007;G;3;32;32100;PLAN MINER;PLAN MINER
2007;G;3;32;32200;FONDO ESP TERUEL;FONDO ESPECIAL TERUEL
2007;G;3;33;33001;CONF SECT DE EMPLEO;CONFERENCIA SECTORIAL DE EMPLEO
2007;G;3;34;34001;CSA NAC COMPLEM PAC;CONFERENCIA SECTORIAL AGRICULTURA - AYUDAS NACIONALES COMPLEMENTARIAS PAC
2007;G;3;34;34002;CSA ABAND PR LECHERA;CONFERENCIA SECTORIAL AGRICULTURA - PROGRAMA ABANDONO PRODUCCIÓN LECHERA
2007;G;3;34;34003;CSA COMPET AGRARIA;CONFERENCIA SECTORIAL AGRICULTURA - MEJORA COMPETITIVIDAD AGRARIA
2007;G;3;34;34004;CSA AGROAMBIENTALES;CONFERENCIA SECTORIAL AGRICULTURA - MEDIDAS AGROAMBIENTALES
2007;G;3;34;34005;CSA AYU PER FRUT SEC;CONFERENCIA SECTORIAL AGRICULTURA - AYUDA PERMANENTE FRUTOS SECOS
2007;G;3;34;34006;CSA PROGRAMA APICOLA;CONFERENCIA SECTORIAL AGRICULTURA - PROGRAMA APICOLA
2007;G;3;34;34007;CSA INDUSTRIAS AGRO;CONFERENCIA SECTORIAL AGRICULTURA - APOYO A INDUSTRIAS AGROALIMENTARIAS
2007;G;3;34;34008;CSA FIN ASOC AGRARIO;CONFERENCIA SECTORIAL AGRICULTURA - FINANCIACIÓN ASOCIACIONISMO AGRARIO
2007;G;3;34;34009;CSA AGRUP PROD AGRAR;CONFERENCIA SECTORIAL AGRICULTURA - AGRUPACIONES PRODUCTORES AGRARIOS
2007;G;3;34;34010;CSA IFOP;CONFERENCIA SECTORIAL AGRICULTURA - FONDO PROGRAMA IFOP
2007;G;3;34;34011;CSA ASOC RAZAS AUTOC;CONFERENCIA SECTORIAL AGRICULTURA - APOYO ASOCIACIONES RAZAS AUTÓCTONAS
2007;G;3;34;34012;CSA SANIDAD ANIMAL;CONFERENCIA SECTORIAL AGRICULTURA - PROGRAMA SANIDAD ANIMAL
2007;G;3;34;34013;CSA ENF PORCINAS;CONFERENCIA SECTORIAL AGRICULTURA - PROGRAMA ENFERMEDADES PORCINAS
2007;G;3;34;34014;CSA IDENTIF ANIMAL;CONFERENCIA SECTORIAL AGRICULTURA - IDENTIFICACION ANIMAL
2007;G;3;34;34015;CSA SEM PLANT VIVER;CONFERENCIA SECTORIAL AGRICULTURA - SEMILLAS Y PLANTAS DE VIVEROS
2007;G;3;34;34016;CSA CONV ID FRUTALES;CONFERENCIA SECTORIAL AGRICULTURA - CONVENIO IDENTIFICACIÓN DE FRUTALES
2007;G;3;34;34017;CSA LUCH CONT AG NOC;CONFERENCIA SECTORIAL AGRICULTURA - LUCHA CONTRA AGENTES NOCIVOS
2007;G;3;34;34018;CSA PREV PLAGAS;CONFERENCIA SECTORIAL AGRICULTURA - PREVENCION DE PLAGAS
2007;G;3;34;34019;CSA PR CALIDAD CARNE;CONFERENCIA SECTORIAL AGRICULTURA - PROGRAMA CALIDAD DE LA CARNE
2007;G;3;34;34020;CSA FOM GAN EXT  AUT;CONFERENCIA SECTORIAL AGRICULTURA - FOMENTO GANADERIA EXTENSIVA  AUTÓCTONA
