Profitcenter,Sachkonto,S/H,costs,earning,Version,Planjahr
153000704,94000000,H,,13500,8,2019
150000000,94000000,H,,43920,8,2019
133000200,94000000,H,,78270,8,2019
166000000,94000000,H,,113040,8,2019
168001300,94000000,H,,171000,8,2019
152000803,94000000,H,,274200,8,2019
103001500,94000000,H,,10099.92,8,2019
137000200,94000000,H,,113769.96,8,2019
161000000,94000000,H,,12750.12,8,2019
166001103,94000000,H,,1528999.92,8,2019
156000000,94000000,H,,17149.92,8,2019
163000000,94000000,H,,18425.04,8,2019
140000300,94000000,H,,21019.92,8,2019
153000700,94000000,H,,2109.96,8,2019
152000801,94000000,H,,22099.92,8,2019
121000100,94000000,H,,30204.96,8,2019
152000800,94000000,H,,30980.04,8,2019
110000123,94000000,H,,356129.64,8,2019
162000900,94000000,H,,3819.96,8,2019
141000400,94000000,H,,389.88,8,2019
141400407,94000000,H,,3971.4,8,2019
141200410,94000000,H,,400.08,8,2019
162000907,94000000,H,,482619.96,8,2019
137000219,94000000,H,,494400.12,8,2019
166000112,94000000,H,,59300.04,8,2019
151000600,94000000,H,,86160.12,8,2019
130000000,94000000,H,,9.96,8,2019
153000702,94000000,H,,90500.04,8,2019
102000103,94000000,H,,97.68,8,2019
110000100,94000000,H,,9999.96,8,2019
130000127,94000001,H,,1044671.35,8,2019
153000700,94000001,H,,11975.88,8,2019
166000000,94000001,H,,121328.64,8,2019
121000122,94000001,H,,1287129.87,8,2019
120000120,94000001,H,,1417120.63,8,2019
133000200,94000001,H,,17314.56,8,2019
152000800,94000001,H,,18021.36,8,2019
151000600,94000001,H,,28265.4,8,2019
137000200,94000001,H,,31631.52,8,2019
121000121,94000001,H,,3470212.16,8,2019
161000000,94000001,H,,3596.4,8,2019
140000300,94000001,H,,48240.08,8,2019
168001300,94000001,H,,48936.1,8,2019
163000000,94000001,H,,5793.96,8,2019
162000900,94000001,H,,6077.52,8,2019
121000100,94000001,H,,6826.8,8,2019
150000000,94000001,H,,70616.04,8,2019
114000107,94000001,H,,72738.12,8,2019
103001500,94000001,H,,7390.44,8,2019
130000000,94000001,H,,7781.64,8,2019
156000000,94000001,H,,8586.24,8,2019
141000400,94000001,H,,9205.32,8,2019
163000000,94000002,H,,11090.88,8,2019
130000000,94000002,H,,12117.36,8,2019
150000510,94000002,H,,136528.64,8,2019
130000127,94000002,H,,145139.2,8,2019
151000600,94000002,H,,147870.49,8,2019
162000900,94000002,H,,16635.36,8,2019
141000400,94000002,H,,16636.08,8,2019
153000700,94000002,H,,189473.76,8,2019
140000300,94000002,H,,216263.69,8,2019
166000000,94000002,H,,218108.28,8,2019
150000000,94000002,H,,218111.77,8,2019
110000100,94000002,H,,240.6,8,2019
104000105,94000002,H,,253965.08,8,2019
102000103,94000002,H,,38.76,8,2019
190000113,94000002,H,,389161.96,8,2019
161000000,94000002,H,,49906.16,8,2019
168001300,94000002,H,,499060.27,8,2019
133000200,94000002,H,,55451.76,8,2019
137000200,94000002,H,,616197.69,8,2019
111000116,94000002,H,,6762571.77,8,2019
121000100,94000002,H,,6923.88,8,2019
103001500,94000002,H,,7393.44,8,2019
152000800,94000002,H,,77632.08,8,2019
156000000,94000002,H,,9242.16,8,2019
111000115,94000002,H,,955043.5,8,2019
153000700,94000003,H,,3510,8,2019
110000100,94000003,H,,6000,8,2019
140000300,94000003,H,,6270,8,2019
