Profitcenter,Sachkonto,S/H,costs,earning,Version,Planjahr
190001507,94000000,S,300,,8,2018
110990133,94000000,S,1350,,8,2018
190000104,94000000,S,1500,,8,2018
150000501,94000000,S,2928,,8,2018
150000504,94000000,S,2928,,8,2018
150000506,94000000,S,2928,,8,2018
150000507,94000000,S,2928,,8,2018
150000508,94000000,S,2928,,8,2018
150000511,94000000,S,2928,,8,2018
110770131,94000000,S,3180,,8,2018
103001502,94000000,S,4698,,8,2018
150000503,94000000,S,5856,,8,2018
150001005,94000000,S,5856,,8,2018
168001302,94000000,S,8550,,8,2018
150000502,94000000,S,11712,,8,2018
150000000,94000000,S,43920,,8,2018
133000200,94000000,S,78270,,8,2018
168001303,94000000,S,92400,,8,2018
111000116,94000000,S,100575,,8,2018
166000000,94000000,S,113040,,8,2018
168001300,94000000,S,171000,,8,2018
137000221,94000000,S,421860,,8,2018
130000512,94000000,S,0.36,,8,2018
103001500,94000000,S,10099.92,,8,2018
166000112,94000000,S,10223.64,,8,2018
140000302,94000000,S,1107.36,,8,2018
141000402,94000000,S,1124.52,,8,2018
137000200,94000000,S,113769.96,,8,2018
121000122,94000000,S,11593.56,,8,2018
140000308,94000000,S,1173.24,,8,2018
110660130,94000000,S,1199.88,,8,2018
141200410,94000000,S,1218.84,,8,2018
141500408,94000000,S,1242.84,,8,2018
123000128,94000000,S,12467.88,,8,2018
161000000,94000000,S,12750.12,,8,2018
151000605,94000000,S,13407.12,,8,2018
163001001,94000000,S,13511.4,,8,2018
168001301,94000000,S,136200.12,,8,2018
101000102,94000000,S,1370.04,,8,2018
156001402,94000000,S,1435.92,,8,2018
166001308,94000000,S,14396.16,,8,2018
140000307,94000000,S,1447.44,,8,2018
166001201,94000000,S,1494493.68,,8,2018
151000606,94000000,S,1556.76,,8,2018
104000105,94000000,S,159.96,,8,2018
140000305,94000000,S,1612.68,,8,2018
156000000,94000000,S,17149.92,,8,2018
133000203,94000000,S,17799.96,,8,2018
140000303,94000000,S,1797.24,,8,2018
152000801,94000000,S,18352.8,,8,2018
163000000,94000000,S,18425.04,,8,2018
121000121,94000000,S,18611.4,,8,2018
137000220,94000000,S,19011.72,,8,2018
141700405,94000000,S,1952.76,,8,2018
140000300,94000000,S,21019.92,,8,2018
153000700,94000000,S,2109.96,,8,2018
166001205,94000000,S,2265.84,,8,2018
156001401,94000000,S,23475.96,,8,2018
102000118,94000000,S,2409.6,,8,2018
156001307,94000000,S,2580.6,,8,2018
162000908,94000000,S,264.84,,8,2018
110000123,94000000,S,266.76,,8,2018
140000310,94000000,S,269865.6,,8,2018
162000907,94000000,S,2720.64,,8,2018
103001501,94000000,S,2877.6,,8,2018
161000902,94000000,S,2903.28,,8,2018
133000205,94000000,S,29177.52,,8,2018
140000304,94000000,S,2925.96,,8,2018
150000510,94000000,S,2937.96,,8,2018
133000204,94000000,S,29452.68,,8,2018
190400412,94000000,S,296.28,,8,2018
121000100,94000000,S,30204.96,,8,2018
152000800,94000000,S,30980.04,,8,2018
141300409,94000000,S,3104.88,,8,2018
153000703,94000000,S,311.16,,8,2018
141400407,94000000,S,3162.84,,8,2018
161001003,94000000,S,3180.72,,8,2018
161000901,94000000,S,3373.92,,8,2018
166001202,94000000,S,3391.2,,8,2018
166001206,94000000,S,3441.24,,8,2018
141800404,94000000,S,3506.4,,8,2018
162000900,94000000,S,3819.96,,8,2018
141000400,94000000,S,389.88,,8,2018
125000108,94000000,S,39.96,,8,2018
161001207,94000000,S,3900.12,,8,2018
152000802,94000000,S,3969.12,,8,2018
151000604,94000000,S,4060.44,,8,2018
110000124,94000000,S,41228.28,,8,2018
162000909,94000000,S,415.92,,8,2018
