Profitcenter,Sachkonto,S/H,costs,earning,Version,Planjahr
190001507,94000000,S,300,,8,2024
110990133,94000000,S,1350,,8,2024
190000104,94000000,S,1500,,8,2024
150000501,94000000,S,2928,,8,2024
150000504,94000000,S,2928,,8,2024
150000506,94000000,S,2928,,8,2024
150000507,94000000,S,2928,,8,2024
150000508,94000000,S,2928,,8,2024
150000511,94000000,S,2928,,8,2024
110770131,94000000,S,3180,,8,2024
150000503,94000000,S,5856,,8,2024
150001005,94000000,S,5856,,8,2024
168001302,94000000,S,8550,,8,2024
150000502,94000000,S,11712,,8,2024
150000000,94000000,S,43920,,8,2024
133000200,94000000,S,78270,,8,2024
168001303,94000000,S,92400,,8,2024
111000116,94000000,S,100575,,8,2024
166000000,94000000,S,113040,,8,2024
168001300,94000000,S,171000,,8,2024
137000221,94000000,S,421860,,8,2024
130000512,94000000,S,0.36,,8,2024
103001500,94000000,S,10099.92,,8,2024
166000112,94000000,S,10223.64,,8,2024
140000302,94000000,S,1107.36,,8,2024
141000402,94000000,S,1124.52,,8,2024
137000200,94000000,S,113769.96,,8,2024
121000122,94000000,S,11593.56,,8,2024
140000308,94000000,S,1173.24,,8,2024
110660130,94000000,S,1199.88,,8,2024
141200410,94000000,S,1218.84,,8,2024
141500408,94000000,S,1242.84,,8,2024
123000128,94000000,S,12511.08,,8,2024
161000000,94000000,S,12750.12,,8,2024
151000605,94000000,S,13407.12,,8,2024
163001001,94000000,S,13511.4,,8,2024
168001301,94000000,S,136200.12,,8,2024
101000102,94000000,S,1370.04,,8,2024
156001402,94000000,S,1435.92,,8,2024
166001308,94000000,S,14396.16,,8,2024
140000307,94000000,S,1447.44,,8,2024
166001201,94000000,S,1494493.68,,8,2024
151000606,94000000,S,1556.76,,8,2024
104000105,94000000,S,159.96,,8,2024
140000305,94000000,S,1612.68,,8,2024
156000000,94000000,S,17149.92,,8,2024
133000203,94000000,S,17799.96,,8,2024
140000303,94000000,S,1797.24,,8,2024
152000801,94000000,S,18352.8,,8,2024
163000000,94000000,S,18425.04,,8,2024
121000121,94000000,S,18611.4,,8,2024
137000220,94000000,S,19011.72,,8,2024
141700405,94000000,S,1952.76,,8,2024
140000300,94000000,S,21019.92,,8,2024
153000700,94000000,S,2109.96,,8,2024
166001205,94000000,S,2265.84,,8,2024
156001401,94000000,S,23475.96,,8,2024
102000118,94000000,S,2409.6,,8,2024
156001307,94000000,S,2580.6,,8,2024
162000908,94000000,S,264.84,,8,2024
110000123,94000000,S,266.76,,8,2024
140000310,94000000,S,269865.6,,8,2024
162000907,94000000,S,2720.64,,8,2024
103001501,94000000,S,2774.52,,8,2024
133000205,94000000,S,28420.8,,8,2024
133000204,94000000,S,28695.84,,8,2024
161000902,94000000,S,2903.28,,8,2024
140000304,94000000,S,2925.96,,8,2024
150000510,94000000,S,2937.96,,8,2024
190400412,94000000,S,300.24,,8,2024
121000100,94000000,S,30204.96,,8,2024
152000800,94000000,S,30980.04,,8,2024
141300409,94000000,S,3104.88,,8,2024
153000703,94000000,S,311.16,,8,2024
141400407,94000000,S,3162.84,,8,2024
161001003,94000000,S,3180.72,,8,2024
161000901,94000000,S,3373.92,,8,2024
166001202,94000000,S,3391.2,,8,2024
166001206,94000000,S,3441.24,,8,2024
141800404,94000000,S,3506.4,,8,2024
162000900,94000000,S,3819.96,,8,2024
141000400,94000000,S,389.88,,8,2024
125000108,94000000,S,39.96,,8,2024
161001207,94000000,S,3900.12,,8,2024
152000802,94000000,S,3969.12,,8,2024
151000604,94000000,S,4060.44,,8,2024
110000124,94000000,S,41228.28,,8,2024
162000909,94000000,S,415.92,,8,2024
166001103,94000000,S,45675.96,,8,2024
103001502,94000000,S,4753.92,,8,2024
114000107,94000000,S,4760.04,,8,2024
153000702,94000000,S,477.12,,8,2024
151000608,94000000,S,477.24,,8,2024
153000701,94000000,S,493.08,,8,2024
190600903,94000000,S,5.04,,8,2024
140000309,94000000,S,521.88,,8,2024
163000904,94000000,S,5263.56,,8,2024
151000603,94000000,S,552.24,,8,2024
137000219,94000000,S,57713.28,,8,2024
111000115,94000000,S,579.6,,8,2024
140000301,94000000,S,6131.4,,8,2024
166001204,94000000,S,61601.16,,8,2024
166001203,94000000,S,6391.2,,8,2024
151000602,94000000,S,65867.52,,8,2024
133000206,94000000,S,6741.36,,8,2024
162000906,94000000,S,718.56,,8,2024
151000601,94000000,S,718.92,,8,2024
156000208,94000000,S,7192.32,,8,2024
102000103,94000000,S,7284.96,,8,2024
133000201,94000000,S,73317.12,,8,2024
161000215,94000000,S,736.92,,8,2024
120000120,94000000,S,7601.28,,8,2024
110200126,94000000,S,857.76,,8,2024
141600406,94000000,S,8606.52,,8,2024
151000600,94000000,S,86160.12,,8,2024
153000704,94000000,S,878.64,,8,2024
113000114,94000000,S,8899.92,,8,2024
130000127,94000000,S,9.6,,8,2024
130000000,94000000,S,9.96,,8,2024
140000306,94000000,S,937.08,,8,2024
110880132,94000000,S,9619.92,,8,2024
141000401,94000000,S,962.4,,8,2024
152000803,94000000,S,9778.2,,8,2024
110000109,94000000,S,978.96,,8,2024
110000100,94000000,S,9999.96,,8,2024
103001500,94000001,S,7758,,8,2024
141000403,94000001,S,10273.32,,8,2024
152000803,94000001,S,105944.82,,8,2024
161000215,94000001,S,11004.6,,8,2024
190000113,94000001,S,11057.22,,8,2024
162000908,94000001,S,11162.64,,8,2024
190400412,94000001,S,11405.26,,8,2024
137000219,94000001,S,114634.21,,8,2024
153000703,94000001,S,12172.2,,8,2024
153000700,94000001,S,12583.32,,8,2024
166001205,94000001,S,12679.44,,8,2024
123000128,94000001,S,127334.63,,8,2024
166000000,94000001,S,127470.37,,8,2024
161000901,94000001,S,13018.8,,8,2024
166001206,94000001,S,13342.8,,8,2024
150000502,94000001,S,134981.64,,8,2024
121000121,94000001,S,13545.12,,8,2024
161001207,94000001,S,13755.58,,8,2024
141600406,94000001,S,143724.94,,8,2024
168001303,94000001,S,144194.89,,8,2024
151000603,94000001,S,14451.84,,8,2024
153000701,94000001,S,14467.32,,8,2024
151000601,94000001,S,14588.16,,8,2024
150000508,94000001,S,14658.36,,8,2024
140000301,94000001,S,147218.64,,8,2024
152000802,94000001,S,15212.76,,8,2024
162000909,94000001,S,15327.6,,8,2024
110990133,94000001,S,15519.96,,8,2024
140000309,94000001,S,15812.76,,8,2024
110660130,94000001,S,16023.12,,8,2024
110770131,94000001,S,16102.56,,8,2024
110880132,94000001,S,16103.76,,8,2024
161001003,94000001,S,16442.04,,8,2024
162000906,94000001,S,16507.44,,8,2024
166001202,94000001,S,16871.76,,8,2024
153000702,94000001,S,17377.44,,8,2024
151000606,94000001,S,17553.24,,8,2024
150000511,94000001,S,18025.08,,8,2024
150000506,94000001,S,18118.2,,8,2024
166001203,94000001,S,18128.52,,8,2024
133000200,94000001,S,18178.74,,8,2024
168001302,94000001,S,18227.16,,8,2024
141000402,94000001,S,18350.04,,8,2024
190000104,94000001,S,18842.28,,8,2024
152000800,94000001,S,18924.96,,8,2024
156001401,94000001,S,18951.12,,8,2024
190001507,94000001,S,206753.74,,8,2024
156001307,94000001,S,20726.52,,8,2024
137000220,94000001,S,20776.44,,8,2024
156001402,94000001,S,22506.96,,8,2024
168001301,94000001,S,225618.34,,8,2024
156000208,94000001,S,22609.92,,8,2024
140000302,94000001,S,22668.22,,8,2024
170001102,94000001,S,231724.79,,8,2024
141800404,94000001,S,23487.84,,8,2024
101000102,94000001,S,23771.16,,8,2024
130000127,94000001,S,24279.48,,8,2024
166001308,94000001,S,25945.2,,8,2024
140000308,94000001,S,26635.32,,8,2024
166001201,94000001,S,268939.96,,8,2024
166000112,94000001,S,27669.84,,8,2024
166001204,94000001,S,27729.72,,8,2024
141500408,94000001,S,28004.28,,8,2024
151000602,94000001,S,295625.68,,8,2024
151000600,94000001,S,29667.84,,8,2024
141400407,94000001,S,29921.69,,8,2024
140000306,94000001,S,31088.88,,8,2024
133000205,94000001,S,31717.08,,8,2024
150000503,94000001,S,31750.56,,8,2024
170001208,94000001,S,328768.01,,8,2024
140000303,94000001,S,33052.56,,8,2024
137000200,94000001,S,33215.16,,8,2024
103001502,94000001,S,33220.56,,8,2024
133000207,94000001,S,34045.37,,8,2024
141000401,94000001,S,34414.08,,8,2024
137000221,94000001,S,366180.99,,8,2024
125000108,94000001,S,37008.29,,8,2024
140000305,94000001,S,37548.84,,8,2024
161000000,94000001,S,3777.6,,8,2024
121000122,94000001,S,379393.11,,8,2024
161000902,94000001,S,39699.53,,8,2024
141700405,94000001,S,41072.04,,8,2024
113000114,94000001,S,43332.53,,8,2024
150001005,94000001,S,43711.68,,8,2024
151000604,94000001,S,44649.96,,8,2024
102000118,94000001,S,44901.96,,8,2024
141200410,94000001,S,45036.72,,8,2024
153000704,94000001,S,47446.73,,8,2024
103001501,94000001,S,48171.77,,8,2024
141300409,94000001,S,48975.84,,8,2024
140000310,94000001,S,49147.97,,8,2024
163001001,94000001,S,49278.96,,8,2024
102000103,94000001,S,50239.61,,8,2024
140000300,94000001,S,50669.52,,8,2024
168001300,94000001,S,51395.1,,8,2024
151000605,94000001,S,58177.08,,8,2024
162000907,94000001,S,58639.32,,8,2024
163000000,94000001,S,6082.8,,8,2024
150000501,94000001,S,63411.96,,8,2024
162000900,94000001,S,6379.68,,8,2024
140000304,94000001,S,64508.88,,8,2024
133000206,94000001,S,69694.26,,8,2024
152000801,94000001,S,70826.81,,8,2024
133000204,94000001,S,708468.85,,8,2024
150000504,94000001,S,71408.64,,8,2024
121000100,94000001,S,7164.84,,8,2024
140000307,94000001,S,72722.04,,8,2024
150000000,94000001,S,74147.04,,8,2024
133000201,94000001,S,75149.97,,8,2024
150000507,94000001,S,81513.99,,8,2024
130000000,94000001,S,8170.32,,8,2024
133000202,94000001,S,81987.5,,8,2024
166001103,94000001,S,836070.23,,8,2024
163000904,94000001,S,83952.24,,8,2024
133000203,94000001,S,84734.92,,8,2024
150000510,94000001,S,84767.4,,8,2024
156000000,94000001,S,9036.84,,8,2024
190000414,94000001,S,9103.32,,8,2024
190400413,94000001,S,9199.32,,8,2024
130000512,94000001,S,9405.96,,8,2024
141000400,94000001,S,9665.88,,8,2024
190600903,94000001,S,9673.82,,8,2024
