Profitcenter,Sachkonto,S/H,costs,earning,Version,Planjahr
153000704,94000000,H,,13500,8,2024
150000000,94000000,H,,43920,8,2024
133000200,94000000,H,,78270,8,2024
166000000,94000000,H,,113040,8,2024
168001300,94000000,H,,171000,8,2024
152000803,94000000,H,,274200,8,2024
103001500,94000000,H,,10099.92,8,2024
137000200,94000000,H,,113769.96,8,2024
161000000,94000000,H,,12750.12,8,2024
166001103,94000000,H,,1528999.92,8,2024
156000000,94000000,H,,17149.92,8,2024
163000000,94000000,H,,18425.04,8,2024
140000300,94000000,H,,21019.92,8,2024
153000700,94000000,H,,2109.96,8,2024
152000801,94000000,H,,22099.92,8,2024
121000100,94000000,H,,30204.96,8,2024
152000800,94000000,H,,30980.04,8,2024
110000123,94000000,H,,356129.64,8,2024
162000900,94000000,H,,3819.96,8,2024
141000400,94000000,H,,389.88,8,2024
141400407,94000000,H,,3971.4,8,2024
141200410,94000000,H,,400.08,8,2024
162000907,94000000,H,,482619.96,8,2024
137000219,94000000,H,,494400.12,8,2024
166000112,94000000,H,,59300.04,8,2024
151000600,94000000,H,,86160.12,8,2024
130000000,94000000,H,,9.96,8,2024
153000702,94000000,H,,90500.04,8,2024
102000103,94000000,H,,97.68,8,2024
110000100,94000000,H,,9999.96,8,2024
103001500,94000001,H,,7758,8,2024
130000127,94000001,H,,1100689.28,8,2024
153000700,94000001,H,,12583.32,8,2024
166000000,94000001,H,,127470.37,8,2024
121000122,94000001,H,,1313034.55,8,2024
120000120,94000001,H,,1488298.09,8,2024
133000200,94000001,H,,18178.74,8,2024
152000800,94000001,H,,18924.96,8,2024
151000600,94000001,H,,29667.84,8,2024
137000200,94000001,H,,33215.16,8,2024
121000121,94000001,H,,3617131.51,8,2024
161000000,94000001,H,,3777.6,8,2024
140000300,94000001,H,,50669.52,8,2024
168001300,94000001,H,,51395.1,8,2024
163000000,94000001,H,,6082.8,8,2024
162000900,94000001,H,,6379.68,8,2024
121000100,94000001,H,,7164.84,8,2024
150000000,94000001,H,,74147.04,8,2024
114000107,94000001,H,,76393.32,8,2024
130000000,94000001,H,,8170.32,8,2024
156000000,94000001,H,,9036.84,8,2024
141000400,94000001,H,,9665.88,8,2024
163000000,94000002,H,,11758.32,8,2024
130000000,94000002,H,,12860.16,8,2024
150000510,94000002,H,,143959.98,8,2024
130000127,94000002,H,,152004.96,8,2024
151000600,94000002,H,,156770.8,8,2024
162000900,94000002,H,,17636.52,8,2024
141000400,94000002,H,,17637.24,8,2024
153000700,94000002,H,,200877.96,8,2024
140000300,94000002,H,,229280.16,8,2024
166000000,94000002,H,,231236.39,8,2024
150000000,94000002,H,,231239.28,8,2024
110000100,94000002,H,,253.8,8,2024
104000105,94000002,H,,264264.49,8,2024
102000103,94000002,H,,40.92,8,2024
190000113,94000002,H,,405385.47,8,2024
161000000,94000002,H,,52910.16,8,2024
168001300,94000002,H,,529100.58,8,2024
133000200,94000002,H,,58789.08,8,2024
137000200,94000002,H,,654641.02,8,2024
111000116,94000002,H,,7202547.28,8,2024
121000100,94000002,H,,7348.8,8,2024
103001500,94000002,H,,7838.64,8,2024
152000800,94000002,H,,82304.53,8,2024
156000000,94000002,H,,9798.36,8,2024
111000115,94000002,H,,996861.99,8,2024
153000700,94000003,H,,3510,8,2024
110000100,94000003,H,,6000,8,2024
140000300,94000003,H,,6270,8,2024
121000100,94000003,H,,8430,8,2024
150000000,94000003,H,,8790,8,2024
166000112,94000003,H,,13500,8,2024
163000000,94000003,H,,14070,8,2024
133000200,94000003,H,,16350,8,2024
166000000,94000003,H,,19920,8,2024
141300409,94000003,H,,30000,8,2024
130000000,94000003,H,,1299.96,8,2024
156000000,94000003,H,,1299.96,8,2024
130000127,94000003,H,,171099.12,8,2024
137000200,94000003,H,,2799.96,8,2024
162000900,94000003,H,,2879.88,8,2024
170001102,94000003,H,,289934.88,8,2024
151000600,94000003,H,,29929.92,8,2024
110000123,94000003,H,,343349.76,8,2024
103001500,94000003,H,,3680.04,8,2024
152000801,94000003,H,,399.96,8,2024
168001300,94000003,H,,42500.04,8,2024
