EJERCICIO;GASTO/INGRESO;ORIGEN;FONDO;FINANCIACION;DESCRIPCION CORTA;DESCRIPCION LARGA
2009;G;1;14;14102;PROG. COOP. TRANSFRONTERI;
2009;G;1;15;15001;IFOP;INSTRUMENTO FINANCIERO DE ORDENACIÓN PESQUERA
2009;G;1;15;15101;FONDO EUROPEO DE PESCA;FONDO EUROPEO DE PESCA
2009;G;1;16;16001;FONDO DE COHESIÓN;FONDO DE COHESIÓN
2009;G;1;19;19001;U E  PUNTO INF EUROP;UNION EUROPEA  (PUNTO INFORMACIÓN EUROPEA)
2009;G;1;19;19002;CONV UE PRUEBAS COMP;CONVENIO UE PRUEBAS COMPARATIVAS
2009;G;1;19;19003;PROGRAMA LIFE;Programa Life
2009;G;1;19;19004;F. E. ADAPTACIÓN GLOBALIZ;FONDO EUROPEO DE ADAPTACIÓN A LA GLOBALIZACIÓN
2009;G;1;19;19090;OTROS PROGRAMAS UE;OTROS PROGRAMAS CON FINANCIACION UE
2009;G;3;31;31000;ADICIONAL INV. JUSTICIA;ADICIONAL INVERSIONES DE ADMINISTRCIÓN DE JUSTICIA
2009;G;3;32;32100;PLAN MINER;PLAN MINER
2009;G;3;32;32200;FONDO ESP TERUEL;FONDO ESPECIAL TERUEL
2009;G;3;33;33001;CONF SECT DE EMPLEO;CONFERENCIA SECTORIAL DE EMPLEO
2009;G;3;33;33002;C.S.EMPLEO- MOD. SPE;CONFERENCIA SECTORIAL DE EMPLEO - MODERNIZACIÓN SERVICIO PÚBLICO EMPLEO
2009;G;3;33;33003;C.S.EMPLEO- M.TRABAJO E I;CONFERENCIA SECTORIAL DE EMPLEO - MINISTERIO DE TRABAJO E INMIGRACIÓN
2009;G;3;33;33004;C.S.EMPLEO- F.P.  EMPLEO;CONFERENCIA SECTORIAL DE EMPLEO - FORMACIÓN PROFESIONAL PARA EL EMPLEO
2009;G;3;33;33005;C.S.EMPLEO- FTO EMP. EETT;CONFERENCIA SECTORIAL DE EMPLEO - FOMENTO DE EMPLEO Y ESCUELAS TALLER
2009;G;3;33;33006;C.S.EMPLEO- PLAN EXTR. B1;CONFERENCIA SECTORIAL DE EMPLEO - PLAN EXTRAORDINARIO / BLOQUE 1
2009;G;3;33;33007;C.S.EMPLEO- PLAN EXTR. B2;CONFERENCIA SECTORIAL DE EMPLEO - PLAN EXTRAORDINARIO / BLOQUE 2
2009;G;3;34;34001;CSA NAC COMPLEM PAC;CONFERENCIA SECTORIAL AGRICULTURA - AYUDAS NACIONALES COMPLEMENTARIAS PAC
2009;G;3;34;34002;CSA ABAND PR LECHERA;CONFERENCIA SECTORIAL AGRICULTURA - PROGRAMA ABANDONO PRODUCCIÓN LECHERA
2009;G;3;34;34003;CSA COMPET AGRARIA;CONFERENCIA SECTORIAL AGRICULTURA - MEJORA COMPETITIVIDAD AGRARIA
2009;G;3;34;34004;CSA AGROAMBIENTALES;CONFERENCIA SECTORIAL AGRICULTURA - MEDIDAS AGROAMBIENTALES
2009;G;3;34;34005;CSA AYU PER FRUT SEC;CONFERENCIA SECTORIAL AGRICULTURA - AYUDA PERMANENTE FRUTOS SECOS
2009;G;3;34;34006;CSA PROGRAMA APICOLA;CONFERENCIA SECTORIAL AGRICULTURA - PROGRAMA APICOLA
2009;G;3;34;34007;CSA INDUSTRIAS AGRO;CONFERENCIA SECTORIAL AGRICULTURA - APOYO A INDUSTRIAS AGROALIMENTARIAS
2009;G;3;34;34008;CSA FIN ASOC AGRARIO;CONFERENCIA SECTORIAL AGRICULTURA - FINANCIACIÓN ASOCIACIONISMO AGRARIO
2009;G;3;34;34009;CSA AGRUP PROD AGRAR;CONFERENCIA SECTORIAL AGRICULTURA - AGRUPACIONES PRODUCTORES AGRARIOS
2009;G;3;34;34010;CSA IFOP;CONFERENCIA SECTORIAL AGRICULTURA - FONDO PROGRAMA IFOP
2009;G;3;34;34011;CSA ASOC RAZAS AUTOC;CONFERENCIA SECTORIAL AGRICULTURA - APOYO ASOCIACIONES RAZAS AUTÓCTONAS
2009;G;3;34;34012;CSA SANIDAD ANIMAL;CONFERENCIA SECTORIAL AGRICULTURA - PROGRAMA SANIDAD ANIMAL
2009;G;3;34;34013;CSA ENF PORCINAS;CONFERENCIA SECTORIAL AGRICULTURA - PROGRAMA ENFERMEDADES PORCINAS
2009;G;3;34;34014;CSA IDENTIF ANIMAL;CONFERENCIA SECTORIAL AGRICULTURA - IDENTIFICACION ANIMAL
2009;G;3;34;34015;CSA SEM PLANT VIVER;CONFERENCIA SECTORIAL AGRICULTURA - SEMILLAS Y PLANTAS DE VIVEROS
2009;G;3;34;34016;CSA CONV ID FRUTALES;CONFERENCIA SECTORIAL AGRICULTURA - CONVENIO IDENTIFICACIÓN DE FRUTALES
2009;G;3;34;34017;CSA LUCH CONT AG NOC;CONFERENCIA SECTORIAL AGRICULTURA - LUCHA CONTRA AGENTES NOCIVOS
2009;G;3;34;34018;CSA PREV PLAGAS;CONFERENCIA SECTORIAL AGRICULTURA - PREVENCION DE PLAGAS
2009;G;3;34;34019;CSA PR CALIDAD CARNE;CONFERENCIA SECTORIAL AGRICULTURA - PROGRAMA CALIDAD DE LA CARNE
2009;G;3;34;34020;CSA FOM GAN EXT  AUT;CONFERENCIA SECTORIAL AGRICULTURA - FOMENTO GANADERIA EXTENSIVA  AUTÓCTONA
2009;G;3;34;34021;CSA ERRAD ENF ANIM;CONFERENCIA SECTORIAL AGRICULTURA - INDEMNIZACION ERRADICACIÓN ENFERMEDADES ANIMALES
2009;G;3;34;34022;CSA PROGR SANITARIOS;CONFERENCIA SECTORIAL AGRICULTURA - PROGRAMAS SANITARIOS
2009;G;3;34;34023;CSA CONTROL LECHERO;CONFERENCIA SECTORIAL AGRICULTURA - CONTROL OFICIAL LECHERO
2009;G;3;34;34024;CSA M CALIDAD LECHE;CONFERENCIA SECTORIAL AGRICULTURA - PROGRAMA MEJORA CALIDAD DE LA LECHE
2009;G;3;34;34025;CSA APOYO ADS;CONFERENCIA SECTORIAL AGRICULTURA - APOYO ADS
2009;G;3;34;34026;CSA APOYO ATRIAS;CONFERENCIA SECTORIAL AGRICULTURA - APOYO ATRIAS
2009;G;3;34;34027;CSA PROGRAMAS PRODER;CONFERENCIA SECTORIAL AGRICULTURA - PROGRAMAS PRODER
2009;G;3;34;34028;CSA ASIST GEST EXPLO;CONFERENCIA SECTORIAL AGRICULTURA - ASISTENCIA GESTION EXPLOTACIONES
2009;G;3;34;34029;CSA DESASTRES NAT;CONFERENCIA SECTORIAL AGRICULTURA - AYUDAS DESASTRES NATURALES
2009;G;3;34;34030;CSA FOREST TIER AGRA;CONFERENCIA SECTORIAL AGRICULTURA - FORESTACION DE TIERRAS AGRARIAS
2009;G;3;34;34031;CSA CESE ANTICIPADO;CONFERENCIA SECTORIAL AGRICULTURA - CESE ANTICIPADO
2009;G;3;34;34032;CSA ICB;CONFERENCIA SECTORIAL AGRICULTURA - INDEMNIZACIÓN COMPENSATORIA BÁSICA
2009;G;3;34;34033;CSA PROGRAMA LEADER;CONFERENCIA SECTORIAL AGRICULTURA - PROGRAMA LEADER
2009;G;3;34;34034;CSA RENOV. TRACTORES;CONFERENCIA SECTORIAL AGRICULTURA - RENOVACION DE TRACTORES
2009;G;3;34;34035;CSA TRAZ.STOR.HORT.;CONFERENCIA SECTORIAL AGRICULTURA - TRAZABILIDAD DEL SECTOR HORTOFRUTÍCOLA
2009;G;3;34;34036;CSA C.RAZAS GAN.PUR;CONFERENCIA SECTORIAL AGRICULTURA - CONCURSOS Y SUBASTAS DE RAZAS PURAS
2009;G;3;34;34037;CSA RECONV.PLANT.FRUT.;CONFERENCIA SECTORIAL AGRICULTURA - RECONVERSIÓN DE PLANTACIONES FRUTÍCOLAS
2009;G;3;34;34038;CSA ORD. FTO SCTOR EQUINO;CONFERENCIA SECTORIAL AGRICULTURA - ORDENACIÓN Y FOMENTO DEL SECTOR EQUINO
2009;G;3;34;34039;CSA PERS. Y ANALITICA EET;CONFERENCIA SECTORIAL DE AGRICULTURA - PERSONAL Y ANALITICA ENCEFALOPATÍAS ESPONGIFORMES TRANSMISIBLES
2009;G;3;34;34040;CSA SELEC GEN. ETT OVINO;CONFERENCIA SECTORIAL AGRICULTURA - SELECCIÓN GENÉTICA PARA RESISTENCIA A LAS ENCEFALOPATÍAS ESPONGIFORMES TRANSMISIBLES EN OVINO
2009;G;3;34;34041;CSA PROG CONT LENGUA AZUL;CONFERENCIA SECTORIAL AGRICULTURA - PROGRAMA DE CONTROL DE LENGUA AZUL
2009;G;3;34;34042;CSA AY AVIC Y GRIPE AVIA;CONFERENCIA SECTORIAL AGRICULTURA - AYUDAS AVICULTURA Y GRIPE AVIAR
2009;G;3;34;34043;CSA MODERN. EXPLOTACIONES;C.S. AGRICULTURA - MODERNIZACIÓN EXPLOTACIONES
2009;G;3;34;34044;CSA INCORP. JÓVENES;C.S. AGRICULTURA - INCORPORACIÓN JÓVENES
2009;G;3;34;34045;CSA ASESOR. ENTIDADES;C.S. AGRICULTURA - ASESORAMIENTO DE ENTIDADES
2009;G;3;34;34046;CSA CONCENTRACIÓN PARCELA;C.S. AGRICULTURA - CONCENTRACIÓN PARCELARIA
2009;G;3;34;34047;CSA MODERNIZACIÓN REGADIO;C.S. AGRICULTURA - MODERNIZACIÓN DE REGADIOS
2009;G;3;34;34048;CSA PROD. TOMATE;C.S. AGRICULTURA - PROD. TOMATE PARA INDUSTRIA
2009;G;3;34;34049;CSA FONDO PROG. FEP;C.S. AGRICULTURA - FONDO PROGRAMA FEP
2009;G;3;34;34050;CSA SUBV.INT. EXP.GANAD.;CONFERENCIA SECTORIAL AGRICULTURA - SUBVENCIONES INTERESES PRÉSTAMOS EXPLOTACIONES GANADERAS POR INCREMENTO PRECIO CEREAL
2009;G;3;34;34051;AGRUP. PROD.OVINO-CAPRINO;AGRUPACIONES DE PRODUCTORES OVINO Y CAPRINO
2009;G;3;34;34052;GEST. MED. EXP. PORCINAS;GESTIÓN MEDIOAMBIENTAL EXPLOTACIONES PORCINAS
2009;G;3;34;34053;GEST. SUBP. ORIGEN ANIMAL;GESTIÓN SUBPRODUCTOS ORIGEN ANIMAL
2009;G;3;34;34054;BIODIGESTIÓN DE PURINES;BIODIGESTIÓN DE PURINES
2009;G;3;34;34055;PROY. ANTENAS RURALES;PROYECTO PILOTO ANTENAS RURALES
2009;G;3;35;35001;CSSS EDUC.FAMILIAR;CONFERENCIA SECTORIAL SERVICIOS SOCIALES - EDUCACIÓN FAMILIAR
2009;G;3;35;35002;CSSS INFORM ACCI SOC;CONFERENCIA SECTORIAL SERVICIOS SOCIALES - INFORMACIÓN SOBRE ACCIÓN SOCIAL
2009;G;3;35;35003;CSSS ORIENT MED FAM;CONFERENCIA SECTORIAL SERVICIOS SOCIALES - ORIENTACIÓN Y MEDIACIÓN FAMILIAR
2009;G;3;35;35004;CSSS MENORES INFRACT;CONFERENCIA SECTORIAL SERVICIOS SOCIALES - MENORES INFRACTORES
2009;G;3;35;35005;CSSS PENS ANC ENFER;CONFERENCIA SECTORIAL SERVICIOS SOCIALES - PENSIONES A ANCIANOS Y ENFERMOS
2009;G;3;35;35006;CSSS GERONTOLÓGICO;CONFERENCIA SECTORIAL SERVICIOS SOCIALES - PLAN GERONTOLÓGICO
2009;G;3;35;35007;CSSS INTG PER DISC;CONFERENCIA SECTORIAL SERVICIOS SOCIALES - PLAN INTEGRAL PERSONAS DISCAPACITADAS
2009;G;3;35;35008;CSSS PRE MAL TRA INF;CONFERENCIA SECTORIAL SERVICIOS SOCIALES - PREVENCIÓN MALOS TRATOS INFANCIA
2009;G;3;35;35009;CSSS PR VIOLENCIA FA;CONFERENCIA SECTORIAL SERVICIOS SOCIALES - PREVENCIÓN VIOLENCIA FAMILIAR
2009;G;3;35;35010;CSSS VOLUNT PLAN EST;CONFERENCIA SECTORIAL SERVICIOS SOCIALES - VOLUNTARIADO PLAN ESTATAL
2009;G;3;35;35011;PLAN A FAVOR SIT. DEPEND.;PLAN DE ACCION A FAVOR PERS .SITUACION DEPENDENCIA
2009;G;3;35;35012;CSSS PLAN DES. GITANO;C.S. SERV. SOCIALES - PLAN DESARROLLO GITANO
2009;G;3;35;35013;CSSS PREST. BASICAS SS;C.S. SERV. SOCIALES - PRESTACIONES BÁSICAS SERVICIOS SOCIALES
2009;G;3;35;35014;CSSS ERRAD. POBREZA;C.S. SERV. SOCIALES - ERRADICACIÓN DE LA POBREZA
2009;G;3;36;36001;CSMA DES MEDIO RURAL;CONFERENCIA SECTORIAL MEDIO AMBIENTE - DESARROLLO SOCIECONÓMICO EN EL MEDIO RURAL
2009;G;3;36;36002;CSMA EST INV MED NAT;CONFERENCIA SECTORIAL MEDIO AMBIENTE - PLANIFICACIÓN, ESTUDIOS E INVESTIGACIÓN DEL MEDIO NATURAL
2009;G;3;36;36003;CSMA ORD PA FORESTAL;CONFERENCIA SECTORIAL MEDIO AMBIENTE - ORDENACIÓN Y MEJORA DEL PATRIMONIO FORESTAL
2009;G;3;36;36004;CSMA PR LUCHA IN FOR;CONFERENCIA SECTORIAL MEDIO AMBIENTE - PREVENCIÓN Y LUCHA CONTRA INCENDIOS FORESTALES Y AGENTES NOCIVOS
2009;G;3;36;36005;CSMA APR RAC PAT NAT;CONFERENCIA SECTORIAL MEDIO AMBIENTE - APROVECHAMIENTO RACIONAL DEL PATRIMONIO NATURAL
2009;G;3;36;36006;CSMA C BIODIVERSIDAD;CONFERENCIA SECTORIAL MEDIO AMBIENTE - CONSERVACIÓN BIODIVERSIDAD (VIDA SILVESTRE)
2009;G;3;36;36007;CSMA PROY.LIFE;CONFERENCIA SECTORIAL MEDIO AMBIENTE - PROYECTO LIFE
2009;G;3;36;36008;CSMA AREA INF. PARQ.NAC.;CONFERENCIA SECTORIAL MEDIO AMBIENTE - ÁREAS DE INFLUENCIA DE PARQUES NACIONALES
2009;G;3;36;36009;Act. Reservas Biosfera;Actuaciones en las Reservas de la Biosfera
2009;G;3;39;39001;PLANES DE VIVIENDA;PLANES DE VIVIENDA
2009;G;3;39;39002;SEGURIDAD MINERA;SEGURIDAD MINERA
2009;G;3;39;39003;PROY INVEST I.N.I.A.;PROYECTOS DE INVESTIGACIÓN (I.N.I.A.)
2009;G;3;39;39004;PLAN MOD COMER INT;PLAN MODERNIZACIÓN COMERCIO INTERIOR
2009;G;3;39;39005;JUB REESTRUCT EMPR;AYUDAS A JUBILACIÓN Y REESTRUCTURACIÓN DE EMPRESAS
2009;G;3;39;39006;INTEGR SOC INMIGRANT;PLAN INTEGRACIÓN SOCIAL INMIGRANTES
2009;G;3;39;39007;EMPLEO COOPERATIVAS;APOYO CREACIÓN EMPLEO COOPERATIVAS
2009;G;3;39;39008;PLA TRAB CN FORM OCU;PLANES DE TRABAJO DE LOS CENTROS NACIONALES DE FORMACIÓN OCUPACIONAL
2009;G;3;39;39009;SEGUNDA ESTACION AVE;SEGUNDA ESTACION AVE
2009;G;3;39;39010;OF PLANES VIVIENDA;OFICINAS PLANES DE VIVIENDA
2009;G;3;39;39011;LESIONES ESTRUC EDIF;LESIONES ESTRUCTURALES EDIFICIOS
2009;G;3;39;39012;CONV REHAB VIVIENDAS;CONVENIO REHABILITACION FUNCIONAL EDIFICIOS VIVIENDAS
2009;G;3;39;39013;CONS COMP PYME;PLAN CONSOLIDACIÓN Y COMPETITIVIDAD P.Y.M.E.
2009;G;3;39;39014;MANT CENTROS SANITAR;MANTENIMIENTO DE CENTROS SANITARIOS
2009;G;3;39;39015;DONACIÓN Y TRASP ÓRG;FOMENTO DE LA DONACIÓN Y TRASPLANTE DE ÓRGANOS
2009;G;3;39;39016;JUNTA ARBITRAL CONS;JUNTA ARBITRAL DE CONSUMO
2009;G;3;39;39017;PROGRAMA PREV SIDA;PROGRAMA PREVENCIÓN SIDA
2009;G;3;39;39018;PREV ASIST REINS TOX;PREVENCIÓN, ASISTENCIA Y REINSERCIÓN DE TOXICÓMANOS
2009;G;3;39;39019;PREV ENF EMERGENTES;PREVENCIÓN ENFERMEDADES EMERGENTES
2009;G;3;39;39020;INVEST IN CARLOS III;PROYECTOS DE INVESTIGACIÓN DEL INSTITUTO CARLOS III
2009;G;3;39;39021;JUB PERS DOC 9 LOGSE;JUBILACIONES PERSONAL DOCENTE ( D.T. 9ª LOGSE)
2009;G;3;39;39022;NUEVAS TEC EDUCACION;NUEVAS TECNOLOGIAS EDUCACION
2009;G;3;39;39023;GUARDERÍAS INF;GUARDERÍAS INFANTILES
2009;G;3;39;39024;ESCUELAS VIAJERAS;ESCUELAS VIAJERAS
2009;G;3;39;39025;PUEBLOS ABANDONADOS;P.R.U.E.P.A.-BUBAL-PUEBLOS ABANDONADOS
2009;G;3;39;39026;CATAL COL PATR BIBL;CATALOGO COLECTIVO PATRIMONIO BIBLIOGRAFICO
2009;G;3;39;39027;POL.COHES.SALUD;POLÍTICAS DE COHESIÓN Y ESTRATEGIAS DE SALUD
2009;G;3;39;39028;CONV.REST.IGLESIAS;CONVENIO PARA RESTAURACIÓN DE IGLESIAS
2009;G;3;39;39029;TERUEL DIGITAL;PROYECTO TERUEL DIGITAL
2009;G;3;39;39030;Mº IND. PROY.PROFIT;MINISTERIO DE INDUSTRIA - PROGRAMA FOMENTO DE LA INVESTIGACIÓN TECNOLÓGICA
2009;G;3;39;39031;C.Mº SAN. GUIA SALUD;CONVENIO MINISTERIO SANIDAD - GUÍA DE SALUD
2009;G;3;39;39032;CONV.MºM.A.SUELOS.C;CONVENIO MINISTERIO MEDIO AMBIENTE - SUELOS CONTAMINADOS
2009;G;3;39;39033;RUTAS LITERARIAS;RUTAS LITERARIAS
2009;G;3;39;39034;INFRAESTR.  I.N.I.A.;INFRAESTRUCTURAS I.N.I.A.
2009;G;3;39;39035;INC.DOCTORES INIA;INCORPORACIÓN DE DOCTORES. I.N.I.A.
2009;G;3;39;39036;IGNAC. ELAB.ORTOFOTO;INSTITUTO GEOGRÁFICO NACIONAL - ELABORACIÓN ORTOFOTO
2009;G;3;39;39037;MEC PLAN NAC. INVEST.;MINISTERIO DE EDUCACIÓN Y CIENCIA - PLAN NACIONAL DE INVESTIGACIÓN
2009;G;3;39;39038;CONF SECT DE LA MUJER;CONFERENCIA SECTORIAL DE LA MUJER
2009;G;3;39;39039;CONV. I. MUJER PROG.ES;CONVENIO CON EL INSTITUTO DE LA MUJER
2009;G;3;39;39040;PLAN FORM. CONT. INAP;PLAN FORMACIÓN  CONTINUA  INSTITUTO NACIONAL DE ADMINISTRACIÓN PÚBLICA
2009;G;3;39;39041;CONV.MºCULT.INVENT.BIENES;CONVENIO CON EL MINISTERIO DE CULTURA PARA REALIZACIÓN DEL INVENTARIO GENERAL DE BIENES MUEBLES DEL PATRIMONIO HISTÓRICO ESPAÑOL EN POSESIÓN DE INSTITUCIONES ECLESIÁSTICAS
2009;G;3;39;39042;CSD CTROS TECNIF. DEP.;CONSEJO SUPERIOR DE DEPORTES PARA CENTROS DE TECNIFICACIÓN DEPORTIVA
2009;G;3;39;39043;CSD CONSTUCC.PABELLÓN;CENTRO SUPERIOR DE DEPORTES. CONVENIO PARA LA REALIZACIÓN DE PABELLONES DEPORTIVOS
2009;G;3;39;39044;PLAN NACIONAL INVESTIG.;PLAN NACIONAL DE INVESTIGACIÓN
2009;G;3;39;39045;C.S.EDUC. INTERNET AULA;CONFERENCIA SECTORIAL DE EDUCACIÓN. PROGRAMA INTERNET EN EL AULA
2009;G;3;39;39046;ACOG.,INTEGR EDUCAC INMIG;CONVENIO CON Mº TRABAJO Y ASUNTOS SOCIALES PARA ACOGIDA, INTEGRACIÓN Y REFUERZO EDUCATIVO DE LA POBLACIÓN INMIGRANTE
2009;G;3;39;39047;PROG.APOYO CTROS EDUCATIV;CONVENIO CON Mº EDUCACIÓN Y CIENCIA EN MATERIA DE APLICACIÓN DE PROGRAMAS DE APOYO A CENTROS DE EDUCACIÓN PRIMARIA Y SECUNDARIA (P.R.O.A.)
2009;G;3;39;39048;C.Mº.IND. PLAN AVANZA;CONVENIO CON EL MINISTERIO DE INDUSTRIA, TURISMO Y COMERCIO PARA FOMENTO DE LAS TIC. PLAN AVANZA.
2009;G;3;39;39049;PROG. USO RAC. MEDICAMENT;PROGRAMA USO RACIONAL DEL MEDICAMENTO
2009;G;3;39;39050;AHORRO Y DIVERS. ENERGET.;FOMENTO DEL AHORRO Y DIVERSIFICACIÓN ENERGÉTICA
2009;G;3;39;39051;CONV.MºEDUC.DIFUS.F.P.;CONVENIO CON EL MINISTERIO DE EDUCACIÓN Y CIENCIA. DIFUSIÓN FORMACIÓN PROFESIONAL
2009;G;3;39;39052;CONV. CNIG S.INF.OC.SUELO;CONVENIO CON EL CENTRO NACIONAL DE INFORMACIÓN GEOGRÁFICA PARA ELABORACIÓN DE UN SISTEMA DE INFORMACIÓN SOBRE OCUPACIÓN DEL SUELO
2009;G;3;39;39053;PROYECTOS INVESTIGACIÓN;FINANCIACIÓN DE LA AGE PROYECTOS  INVESTIGACIÓN
2009;G;3;39;39054;AY.P. VÍCT.VIOL.GÉN. EMPL;AYUDAS PÚBLICAS A MUJERES VÍCTIMAS DE VIOLENCIA DE GÉNERO CON ESPECIALES DIFICULTADES DE EMPLEO
2009;G;3;39;39055;C.S. EDUC. BIBLIOT. ESCOL;CONFERENCIA SECTORIAL DE EDUCACIÓN - BIBLIOTECAS ESCOLARES
2009;G;3;39;39056;IGUALDAD OPORT.JÓVENES;IGUALDAD OPORTUNIDADES LOS/LAS JÓVENES
2009;G;3;39;39057;CSE FINANC. 2º CICLO INF.;CSE FINANCIACIÓN 2º CICLO EDUCACIÓN INFANTIL
2009;G;3;39;39058;C.Mº CULT ADQ.FDO BIBLIOG;CONVENIO CON EL MINISTERIO DE CULTURA PARA DISTRIBUCIÓN DE CRÉDITO PARA LA ADQUISICIÓN DE FONDO BIBLIOGRÁFICO DE BIBLIOTECAS MUNICIPALES
2009;G;3;39;39059;C.S.EDUC. LIBROS Y MATER.;CONFERENCIA SECTORIAL DE EDUCACIÓN - PROGRAMA DE LIBROS Y MATERIAL ESCOLAR
2009;G;3;39;39060;Mº EDUC.ESP.EUR.EDUC.SUP;Mº EDUC. ADAPTACIÓN DE LAS INSTITUCIONES UNIVERSITARIAS AL ESPACIO EUROPEO DE EDUCACIÓN SUPERIOR
