EJERCICIO;GASTO/INGRESO;ORIGEN;FONDO;FINANCIACION;DESCRIPCION CORTA;DESCRIPCION LARGA
2009;G;1;;;UNIÓN EUROPEA;UNIÓN EUROPEA
2009;G;3;;;ADMINISTR. CENTRAL;ADMINISTRACIÓN CENTRAL
2009;G;5;;;OTRAS ADMIN PÚBLICAS;OTRAS ADMINISTRACIONES PÚBLICAS
2009;G;7;;;ENTES PRIVADOS;ENTES PRIVADOS
2009;G;9;;;RECURSOS PROPIOS;RECURSOS PROPIOS
2009;G;1;11;;FONDO SOCIAL EUROPEO;FONDO SOCIAL EUROPEO
2009;G;1;12;;FEAGA  - FEADER;FONDO EUROPEO AGRÍCOLA
2009;G;1;13;;FEOGA ORIENTACIÓN;FEOGA ORIENTACIÓN
2009;G;1;14;;F.E.D.E.R.;FONDO EUROPEO DE DESARROLLO REGIONAL
2009;G;1;15;;IFOP - FEP;INSTRUMENTO FINANCIERO DE ORDENACIÓN PESQUERA - FONDO EUROPEO DE PESCA
2009;G;1;16;;FONDOS DE COHESIÓN;FONDOS DE COHESIÓN
2009;G;1;19;;OTR.AYUDAS EUROPEAS;OTRAS AYUDAS EUROPEAS
2009;G;3;31;;Mº JUSTICIA;MINISTERIO DE JUSTICIA
2009;G;3;32;;PLANES ESPECÍFICOS;PLANES ESPECÍFICOS
2009;G;3;33;;CONF SECT DE EMPLEO;CONFERENCIA SECTORIAL DE EMPLEO
2009;G;3;34;;CONF SECT DE AGRIC.;CONFERENCIA SECTORIAL DE AGRICULTURA
2009;G;3;35;;CONF SECT DE S.SOC.;CONFERENCIA SECTORIAL DE SERVICIOS SOCIALES
2009;G;3;36;;CONF SECT DE M.AMB.;CONFERENCIA SECTORIAL DE MEDIO AMBIENTE
2009;G;3;39;;OTR SUBV. ADM.CENTR.;OTRAS SUBVENCIONES DE LA ADMINISTRACIÓN CENTRAL
2009;G;5;51;;DIPUTACIONES PROVINCIALES;DIPUTACIONES PROVINCIALES
2009;G;5;52;;ADMNES. COMARCALES;ADMINISTRACIONES COMARCALES
2009;G;5;53;;AYUNTAMIENTOS;
2009;G;5;55;;C.A. ARAGÓN;COMUNIDAD AUTÓNOMA DE ARAGÓN
2009;G;7;71;;ENTES PRIV.FINAN.;ENTES PRIVADOS FINANCIEROS
2009;G;7;72;;ENTES PRIV.NO FINAN.;ENTES PRIVADOS NO FINANCIEROS
2009;G;9;91;;RECURSOS PROPIOS;RECURSOS PROPIOS
2009;G;1;11;11001;FSE OBJ 3. EJE 1;FONDO SOCIAL EUROPEO. PROGRAMA OPERATIVO OBJETIVO 3. EJE 1
2009;G;1;11;11002;FSE OBJ 3 EJ 2 3 5 8;FONDO SOCIAL EUROPEO. PROGRAMA OPERATIVO OBJETIVO 3. EJES 2, 3, 5 Y 8
2009;G;1;11;11003;FSE OBJ 3 EJES 6 7 9;FONDO SOCIAL EUROPEO. PROGRAMA OPERATIVO OBJETIVO 3. EJES 6, 7 Y 9
2009;G;1;11;11004;FSE OBJ 3 EJ 7 GL;FONDO SOCIAL EUROPEO. PROGRAMA OPERATIVO OBJETIVO 3. EJE 7 SUBVENCIÓN GLOBAL
2009;G;1;11;11005;FSE PR PL SIS F PROF;FONDO SOCIAL EUROPEO. PROGRAMAS PLURIREGIONALES SISTEMA DE FORMACIÓN PROFESIONAL
2009;G;1;11;11006;FSE PR  PL IN EMP FC;FONDO SOCIAL EUROPEO. PROGRAMAS PLURIREGIONALES INICIATIVA EMPRESARIAL Y FORMACIÓN CONTINUA
2009;G;1;11;11007;FSE PR PL LUCH DISCR;FONDO SOCIAL EUROPEO. PROGRAMAS PLURIREGIONALES LUCHA CONTRA LA DISCRIMINACIÓN
2009;G;1;11;11008;FSE PR PLURI FOM EMP;FONDO SOCIAL EUROPEO. PROGRAMAS PLURIREGIONALES FOMENTO DE EMPLEO
2009;G;1;11;11009;I C EQUAL;INICIATIVA COMUNITARIA EQUAL
2009;G;1;11;11099;FSE PR. OP.  ANTES 2007;FSE PROGRAMAS OPERATIVOS ANTERIORES A 2007
2009;G;1;11;11101;PROG.OP. FSE 2007-2013;PROGRAMA OPERATIVO FONDO SOCIAL EUROPEO 2007-2013
2009;G;1;12;12001;PAC;POLÍTICA AGRARIA COMUNITARIA
2009;G;1;12;12002;FEOGA PDR;FEOGA PLAN DESARROLLO RURAL
2009;G;1;12;12003;FEOGA MEJ ESTR PROD;FEOGA MEJORA ESTRUCTURAS DE PRODUCCIÓN
2009;G;1;12;12004;FEOGA MEDIDAS ACOMP;FEOGA MEDIDAS ACOMPAÑAMIENTO
2009;G;1;12;12005;OTR SUBV FEOGA GARAN;OTRAS SUBVENCIONES DEL FEOGA GARANTÍA
2009;G;1;12;12101;FEAGA GARANTÍA;FONDO EUROPEO AGRÍCOLA DE GARANTÍA - FEAGA
2009;G;1;12;12102;FEADER;FONDO EUROPEO AGRÍCOLA DE DESARROLLO RURAL - FEADER
2009;G;1;13;13001;FEOGA ORIENTACIÓN;FEOGA ORIENTACIÓN
2009;G;1;14;14001;FEDER DOCUP OBJ 2;F.E.D.E.R. DOCUP OBJETIVO 2
2009;G;1;14;14002;I C INTERREG III;INICIATIVA COMUNITARIA INTERREG III
2009;G;1;14;14003;FEDER - ACCIONES FSE;FEDER - ACCIONES FSE
2009;G;1;14;14101;PROG.OP. FEDER 2007-2013;PROGRAMA OPERATIVO FONDO EUROPEO DE DESARROLLO REGIONAL 2007-2013
