EJERCICIO;GRUPO;FUNCION;SUBFUNCION;PROGRAMA;DESCRIPCION CORTA;DESCRIPCION LARGA
2016;7;71;716;;Calidad y Seguridad Alimentaria;Calidad y Seguridad Alimentaria
2016;7;72;723;;Apoyo a la PYME;Apoyo a la Pequea y Mediana Empresa
2016;0;1;11;111;Amortiz. y gastos Deuda;Amortizacin y Gastos Financieros de la Deuda
2016;1;11;111;1111;Cortes de Aragn;Cortes de Aragn (Actividad Legislativa)
2016;1;11;111;1112;Actuaciones del Justicia;Actuaciones del Justicia de Aragn
2016;1;11;111;1113;Aljafera;Aljafera
2016;1;11;111;1114;Act. Cmara de Cuentas;Actuaciones de la Cmara de Cuentas de Aragn
2016;1;11;112;1121;Presidencia y rg Presid;Presidencia y rganos de la Presidencia
2016;1;11;112;1124;Tribunal Admtvo. de Contratos Pblicos de Aragn;Tribunal Admtvo. de Contratos Pblicos de Aragn
2016;1;11;112;1125;Consejo Cons. Aragn;Consejo Consultivo de Aragn
2016;1;12;121;1211;Servicios Generales de Presidencia;Servicios Generales de Presidencia
2016;1;12;121;1212;Servicios Centrales, Edificios e Instalaciones;Servicios Centrales, Edificios e Instalaciones
2016;1;12;121;1213;Servicios de Seguridad y Proteccin Civil;Servicios de Seguridad y Proteccin Civil
2016;1;12;121;1214;No operativo;No operativo
2016;1;12;121;1215;Servicios de Interior;Servicios de Interior
2016;1;12;121;1216;Com.Aragonesas Exterior (No operativo);Comunidades Aragonesas del Exterior (No operativo)
2016;1;12;121;1217;Relac. Institucionales;Relaciones Institucionales
2016;1;12;121;1219;Unidad Polica Nacional adscrita a la C.Autnoma;Unidad Polica Nacional adscrita a la C.Autnoma
2016;1;12;122;1221;Direccin y Administracin de la Funcin Pblica;Direccin y Administracin de la Funcin Pblica
2016;1;12;123;1231;Seleccin, Formacin y Perfeccionamiento Personal;Seleccin, Formacin y Perfeccionamiento Personal
2016;1;12;125;1251;Apoyo a la Administracin Local;Apoyo a la Administracin Local
2016;1;12;125;1252;Poltica Territorial;Poltica Territorial
2016;1;12;125;1253;Estrategias Territoriales;Estrategias Territoriales
2016;1;12;125;1259;Cooperacin con la Polica Local;Cooperacin con la Polica Local
2016;1;12;126;1261;Serv.Coord.Admva.Huesca;Servicios de Coordinacin Administrativa en Huesca
2016;1;12;126;1262;Serv.Coord.Admva.Teruel;Servicios de Coordinacin Administrativa en Teruel
2016;1;12;126;1263;Servicios Jurdicos;Servicios Jurdicos
2016;1;12;126;1264;IInformacin Ciudadana y Doc Administrativa;Informacin Ciudadana y Documentacin Admva.
2016;1;12;126;1265;Servicios Telemticos;Servicios Telemticos
2016;1;12;126;1266;Televisin y Radio Autonmicas;Televisin y Radio Autonmicas
2016;1;12;126;1267;Actuaciones Relativas al Desarrollo Estatutario;Actuaciones Relativas al Desarrollo Estatutario
2016;1;12;126;1268;Inform. Partic. Ciudadana;Informacin y Participacin Ciudadana
2016;1;12;126;1269;Serv.Gen.Pol.Terr. e Int(No operativo);Serv.Grales P. Territorial e Interior (No operativ
2016;1;13;131;1311;Act. Relac. Exteriores;Actuaciones de Relaciones Exteriores
2016;1;13;134;1341;Cooperacin al Desarrollo;Cooperacin al Desarrollo
2016;1;14;142;1421;Serv. Admon. Justicia;Servicios de Administracin de Justicia
2016;3;31;311;3111;Serv. Grales. Cuidadana y Derechos Sociales;Serv. Grales. Cuidadana y Derechos Sociales
2016;3;31;313;3131;Prest. Asistenciales y Serv. Sociales (No operativ;Prest. Asistenciales y Serv. Sociales (No operativ
2016;3;31;313;3132;Gestin y Dllo Serv Soc;Gestin y Desarrollo de los Servicios Sociales
2016;3;31;313;3133;Poltica Apoyo Familias;Poltica Integral de Apoyo a las Familias
2016;3;31;313;3134;Atencin a la dependencia (No operativo);Atencin a la dependencia (No operativo)
2016;3;31;313;3135;Accin Social a favor del personal;Accin Social en Favor del Personal
2016;3;31;313;3136;Fondo Inc. Soc.y Ay Fam U;Fondo de Inclusin Social y Ayuda Familiar Urgente
2016;3;31;315;3151;Relaciones Laborales;Relaciones Laborales
2016;3;32;322;3221;Fomento del Empleo. INAEM;Fomento del Empleo. Instituto Aragons de Empleo
2016;3;32;322;3222;Fomento del Empleo EE.TT. (No operativo);Fomento del Empleo EE.TT. (No operativo)
2016;3;32;322;3225;Fomento del Empleo;Fomento del Empleo
2016;3;32;322;3229;Consejo Econom y Social;Consejo Econmico y Social de Aragn
2016;3;32;323;3231;Promocin de la Juventud;Promocin de la Juventud
2016;3;32;323;3232;Promocin de la Mujer;Promocin de la Mujer
2016;3;32;324;3241;Igualdad y Apoyo a la Inmigracin;Igualdad y Apoyo a la Inmigracin
2016;4;41;411;4111;Serv. Gener. Sanidad;Serv. Gener. Sanidad
2016;4;41;412;4121;Asistencia Sanitaria;Asistencia Sanitaria
2016;4;41;412;4123;Asist. Sanit. Medio Rural (No operativo);Asistencia Sanitaria Medio Rural (CASAR) (No opera
2016;4;41;412;4124;Prod.comp.sangun. y tej.;Producc. componentes sanguneos y de tejidos
2016;4;41;413;4131;Protecc y Promocin Salud;Proteccin y Promocin de la Salud
2016;4;41;413;4132;Serv. Atencin Usuario;Servicios de Atencin al Usuario
2016;4;41;413;4134;Salud Pblica;Salud Pblica
2016;4;42;421;4211;Serv. Gen. Educacin, Cultura y Deporte;Servicios Generales Educacin, Cultura y Deporte
2016;4;42;421;4212;Gestin de Personal;Gestin de Personal
2016;4;42;422;4221;Educ Infantil y Primaria;Educacin Infantil y Primaria
2016;4;42;422;4222;Educ Secundaria y FP;Educacin Secundaria y Formacin Profesional
2016;4;42;422;4223;Educacin Especial;Educacin Especial
2016;4;42;422;4224;Enseanzas Artsticas;Enseanzas Artsticas
2016;4;42;422;4225;Educacin Permanente;Educacin Permanente
2016;4;42;422;4226;Plan Aragons de F.P.;Plan Aragons de Formacin Profesional
2016;4;42;422;4227;Formacin del Profesorado;Formacin del Profesorado
2016;4;42;422;4228;Educacin Universitaria;Educacin Universitaria
2016;4;42;422;4229;Eval. Calidad Enseanza S;Evaluacin de la calidad de la Enseanza Superior
2016;4;42;423;4231;Innovacin, Equidad y Participacin;Innovacin, Equidad y Participacin
2016;4;43;431;4311;Promocin y Admn.Viviendas;Promocin y Administracin de Viviendas
2016;4;43;431;4312;Gestin Social de la Vivienda;Gestin social de la vivienda
2016;4;43;432;4321;Urbanismo;Urbanismo
2016;4;43;432;4323;Arquitectura y Rehabilitacin;Arquitectura y Rehabilitacin
2016;4;44;442;4422;Protecc y Mejor Medio Amb;Proteccin y Mejora del Medio Ambiente
2016;4;44;442;4423;Gestin Ambiental;Gestin Ambiental
2016;4;44;443;4431;Control del Consumo;Control del Consumo
2016;4;45;452;4521;Archivos, Museos y Bibliotecas;Archivos, Museos y Bibliotecas
2016;4;45;452;4522;Gestin de Bibliotecas (No operativo);Gestin de Bibliotecas (No operativo)
2016;4;45;455;4551;Fom y prom lenguas propias;Fomento y promocin de las lenguas propias
2016;4;45;455;4553;Prom y Accin Cultural (No operativo);Promocin y Accin Cultural (No operativo)
2016;4;45;457;4571;Fom y apoyo Activ. Depor;Fomento y apoyo a la Actividad Deportiva
2016;4;45;458;4581;Promoc. de la Cultura y Prot. del Patrim. Cultural;Promoc. de la Cultura y Prot. del Patrim. Cultural
2016;4;46;463;4631;Elecc. Institucionales;Elecciones Institucionales
2016;5;51;511;5111;S G Vert. Territorrio, Movilidad y Vivienda;Serv.G. Verteb. Territorrio, Movilidad y Vivienda
2016;5;51;512;5121;Gest e Infr Recur Hidrul;Gestin e Infraestructura de Recursos Hidrulicos
2016;5;51;513;5131;Carreteras;Carreteras
2016;5;51;513;5132;Transportes;Transportes
2016;5;53;531;5311;Mej Estr Agrar y Dllo Rur;Mejora de Estructuras Agrarias y Desarrollo Rural
2016;5;53;531;5312;Des. Sost. Medio Rural;Desarrollo Sostenible en el Medio Rural
2016;5;53;533;5331;Prot y mejora Medio Nat.;Proteccin y mejora del Medio Natural
2016;5;53;533;5332;Cons. Biodiv. y Des.Sost;Conservac. de la Biodivers y Desarrollo Sostenible
2016;5;54;541;5411;Serv. G.  Innovacin, Investigacin y Universidad;Serv. G.  Innovacin, Investigacin y Universidad
2016;5;54;542;5421;Investigacin Agroalimentaria;Investigacin Agroalimentaria
2016;5;54;542;5422;Inv Tecnolog Aplic Indust;Investigacin y Tecnologa Aplicada a la Industria
2016;5;54;542;5423;Investigacin, Desarrollo e Innovac Tec;Investigacin, Desarrollo e Innovacin Tecnolgica
2016;5;54;542;5424;Inves y Dllo Sdad. Informacin;Investigacin y Dllo. Sociedad de la Informacin
2016;5;54;542;5425;Inves. y Des. Area de Salud;Investigacin y Desarrollo en el rea de la Salud
2016;5;54;542;5426;Administracin electrnica;Administracin electrnica
2016;5;55;551;5511;Elaboracin y Difusin Estadstica;Elaboracin y Difusin Estadstica
2016;6;61;611;6111;Serv Generales Hacienda y Administracin Pblica;Serv. Gen. de Hacienda y Administracin Pblica
2016;6;61;611;6112;Serv G. Economa, Industria y Empleo;Serv G. Economa, Industria y Empleo
2016;6;61;612;6121;Planific.y Direcc Presup;Planificacin y Direccin Presupuestaria
2016;6;61;612;6122;Promocin y Dllo Econm.;Promocin y Desarrollo Econmico
2016;6;61;612;6123;Plan Minera del Carbn;Plan Minera del Carbn y Dllo Alternat Com.Min
2016;6;61;612;6124;Corp. Empr. Pbl. Aragn;Corporacin Empresarial Pblica de Aragn
2016;6;61;612;6126;Apoyo Dllo Econ y Social;Apoyo al Desarrollo Econmico y Social
2016;6;61;612;6127;Gastos no clasificados;Gastos no clasificados
2016;6;61;612;6128;Fondo Gastos Personal;Fondo de Gastos de Personal
