EJERCICIO;GRUPO;FUNCION;D;SUBFUNCION;F;PROGRAMA;H;DESCRIPCION CORTA;DESCRIPCION LARGA
2016;3;31;FALSE;313;FALSE;;TRUE;Accin Social;Accin Social
2016;3;31;FALSE;313;FALSE;3131;FALSE;Prest. Asistenciales y Serv. Sociales (No operativ;Prest. Asistenciales y Serv. Sociales (No operativ
2016;3;31;FALSE;313;FALSE;3132;FALSE;Gestin y Dllo Serv Soc;Gestin y Desarrollo de los Servicios Sociales
2016;3;31;FALSE;313;FALSE;3133;FALSE;Poltica Apoyo Familias;Poltica Integral de Apoyo a las Familias
2016;3;31;FALSE;313;FALSE;3134;FALSE;Atencin a la dependencia (No operativo);Atencin a la dependencia (No operativo)
2016;3;31;FALSE;313;FALSE;3135;FALSE;Accin Social a favor del personal;Accin Social en Favor del Personal
2016;3;31;FALSE;313;FALSE;3136;FALSE;Fondo Inc. Soc.y Ay Fam U;Fondo de Inclusin Social y Ayuda Familiar Urgente
2016;3;31;FALSE;315;FALSE;;TRUE;Relaciones Laborales;Relaciones Laborales
2016;3;31;FALSE;315;FALSE;3151;FALSE;Relaciones Laborales;Relaciones Laborales
2016;3;32;FALSE;;FALSE;;TRUE;Promocin Social;Promocin Social
2016;3;32;FALSE;322;TRUE;;TRUE;Promocin del Empleo;Promocin del Empleo
2016;3;32;FALSE;322;FALSE;3221;FALSE;Fomento del Empleo. INAEM;Fomento del Empleo. Instituto Aragons de Empleo
2016;3;32;FALSE;322;FALSE;3222;FALSE;Fomento del Empleo EE.TT. (No operativo);Fomento del Empleo EE.TT. (No operativo)
2016;3;32;FALSE;322;FALSE;3225;FALSE;Fomento del Empleo;Fomento del Empleo
2016;3;32;FALSE;322;FALSE;3229;FALSE;Consejo Econom y Social;Consejo Econmico y Social de Aragn
2016;3;32;FALSE;323;FALSE;;TRUE;Promocin Sociocultural;Promocin Sociocultural
2016;3;32;FALSE;323;FALSE;3231;FALSE;Promocin de la Juventud;Promocin de la Juventud
2016;3;32;FALSE;323;FALSE;3232;FALSE;Promocin de la Mujer;Promocin de la Mujer
2016;3;32;FALSE;324;FALSE;;TRUE;Accin favor Inmigrantes;Accin en favor de los Inmigrantes
2016;3;32;FALSE;324;FALSE;3241;FALSE;Igualdad y Apoyo a la Inmigracin;Igualdad y Apoyo a la Inmigracin
2016;4;;TRUE;;FALSE;;TRUE;Prod.Bienes Pb. c.social;Produccin de Bienes Pblicos de Carcter Social
2016;4;41;FALSE;;TRUE;;TRUE;Sanidad;Sanidad
2016;4;41;FALSE;411;TRUE;;TRUE;Admn General Sanidad;Administracin General de Sanidad
2016;4;41;FALSE;411;FALSE;4111;FALSE;Serv. Gener. Sanidad;Serv. Gener. Sanidad
2016;4;41;FALSE;412;FALSE;;TRUE;Hosp,Svcios, Asist y Cent;Hospitales, Svcios, Asistencias y Centros de Salud
2016;4;41;FALSE;412;FALSE;4121;FALSE;Asistencia Sanitaria;Asistencia Sanitaria
2016;4;41;FALSE;412;FALSE;4123;FALSE;Asist. Sanit. Medio Rural (No operativo);Asistencia Sanitaria Medio Rural (CASAR) (No opera
2016;4;41;FALSE;412;FALSE;4124;FALSE;Prod.comp.sangun. y tej.;Producc. componentes sanguneos y de tejidos
2016;4;41;FALSE;413;FALSE;;TRUE;Acciones Pblicas Salud;Acciones Pblicas relativas a la Salud
2016;4;41;FALSE;413;FALSE;4131;FALSE;Protecc y Promocin Salud;Proteccin y Promocin de la Salud
2016;4;41;FALSE;413;FALSE;4132;FALSE;Serv. Atencin Usuario;Servicios de Atencin al Usuario
2016;4;41;FALSE;413;FALSE;4134;FALSE;Salud Pblica;Salud Pblica
2016;4;42;FALSE;;FALSE;;TRUE;Educacin;Educacin
2016;4;42;FALSE;421;TRUE;;TRUE;Admn General Educacin;Administracin General de Educacin
2016;4;42;FALSE;421;FALSE;4211;FALSE;Serv. Gen. Educacin, Cultura y Deporte;Servicios Generales Educacin, Cultura y Deporte
2016;4;42;FALSE;421;FALSE;4212;FALSE;Gestin de Personal;Gestin de Personal
2016;4;42;FALSE;422;FALSE;;TRUE;Enseanza;Enseanza
2016;4;42;FALSE;422;FALSE;4221;FALSE;Educ Infantil y Primaria;Educacin Infantil y Primaria
2016;4;42;FALSE;422;FALSE;4222;FALSE;Educ Secundaria y FP;Educacin Secundaria y Formacin Profesional
