EJERCICIO;GASTO/INGRESO;ORIGEN;FONDO;FINANCIACION;DESCRIPCION CORTA;DESCRIPCION LARGA
2006;G;3;39;39017;PROGRAMA PREV SIDA;PROGRAMA PREVENCIÓN SIDA
2006;G;3;39;39018;PREV ASIST REINS TOX;PREVENCIÓN, ASISTENCIA Y REINSERCIÓN DE TOXICÓMANOS
2006;G;3;39;39019;PREV ENF EMERGENTES;PREVENCIÓN ENFERMEDADES EMERGENTES
2006;G;3;39;39020;INVEST IN CARLOS III;PROYECTOS DE INVESTIGACIÓN DEL INSTITUTO CARLOS III
2006;G;3;39;39021;JUB PERS DOC 9 LOGSE;JUBILACIONES PERSONAL DOCENTE ( D.T. 9ª LOGSE)
2006;G;3;39;39022;NUEVAS TEC EDUCACION;NUEVAS TECNOLOGIAS EDUCACION
2006;G;3;39;39023;GUARDERÍAS INF;GUARDERÍAS INFANTILES
2006;G;3;39;39024;ESCUELAS VIAJERAS;ESCUELAS VIAJERAS
2006;G;3;39;39025;PUEBLOS ABANDONADOS;P.R.U.E.P.A.-BUBAL-PUEBLOS ABANDONADOS
2006;G;3;39;39026;CATAL COL PATR BIBL;CATALOGO COLECTIVO PATRIMONIO BIBLIOGRAFICO
2006;G;3;39;39027;POL.COHES.SALUD;POLÍTICAS DE COHESIÓN Y ESTRATEGIAS DE SALUD
2006;G;3;39;39028;CONV.REST.IGLESIAS;CONVENIO PARA RESTAURACIÓN DE IGLESIAS
2006;G;3;39;39029;TERUEL DIGITAL;PROYECTO TERUEL DIGITAL
2006;G;3;39;39030;Mº IND. PROY.PROFIT;MINISTERIO DE INDUSTRIA - PROGRAMA FOMENTO DE LA INVESTIGACIÓN TECNOLÓGICA
2006;G;3;39;39031;C.Mº SAN. GUIA SALUD;CONVENIO MINISTERIO SANIDAD - GUÍA DE SALUD
2006;G;3;39;39032;CONV.MºM.A.SUELOS.C;CONVENIO MINISTERIO MEDIO AMBIENTE - SUELOS CONTAMINADOS
2006;G;3;39;39033;RUTAS LITERARIAS;RUTAS LITERARIAS
2006;G;3;39;39034;INFRAESTR.  I.N.I.A.;INFRAESTRUCTURAS I.N.I.A.
2006;G;3;39;39035;INC.DOCTORES INIA;INCORPORACIÓN DE DOCTORES. I.N.I.A.
2006;G;3;39;39036;IGNAC. ELAB.ORTOFOTO;INSTITUTO GEOGRÁFICO NACIONAL - ELABORACIÓN ORTOFOTO
2006;G;3;39;39037;MEC PLAN NAC. INVEST.;MINISTERIO DE EDUCACIÓN Y CIENCIA - PLAN NACIONAL DE INVESTIGACIÓN
2006;G;3;39;39038;CONF SECT DE LA MUJER;CONFERENCIA SECTORIAL DE LA MUJER
2006;G;3;39;39039;CONV. INST.DE LA MUJER;CONVENIO CON EL INSTITUTO DE LA MUJER
2006;G;3;39;39040;PLAN FORM. CONT. INAP;PLAN FORMACION  CONTINUA  INSTITUTO NACIONAL ADMINISTRACIÓN PÚLICA
2006;G;3;39;39041;CONV.MºCULT.INVENT.BIENES;CONVENIO CON EL MINISTERIO DE CULTURA PARA REALIZACIÓN DEL INVENTARIO GENERAL DE BIENES MUEBLES DEL PATRIMONIO HISTÓRICO ESPAÑOL EN POSESIÓN DE INSTITUCIONES ECLESIÁSTICAS
2006;G;3;39;39042;CSDEPORTES CTROS TECNIF.;CONSEJO SUPERIOR DE DEPORTES PARA CENTROS DE TECNIFICACIÓN DEPORTIVA
2006;G;3;39;39043;CSDEPORTES CONST.PABELLON;CENTRO SUPERIOR DE DEPORTES. CONVENIO PARA LA REALIZACIÓN DE PABELLONES POLIDEPORTIVOS
2006;G;3;39;39044;PLAN NACIONAL INVESTIG.;PLAN NACIONAL DE INVESTIGACIÓN
2006;G;3;39;39045;C.S.EDUC. INTERNET AULA;CONFERENCIA SECTORIAL DE EDUCACIÓN. PROGRAMA INTERNET EN EL AULA
2006;G;3;39;39046;ACOG.,INTEGR EDUCAC INMIG;CONVENIO CON Mº TRABAJO Y ASUNTOS SOCIALES PARA ACOGIDA, INTEGRACIÓN Y REFUERZO EDUCATIVO DE LA POBLACIÓN INMIGRANTE
2006;G;3;39;39047;PROG.APOYO CTROS EDUCATIV;CONVENIO CON Mº EDUCACIÓN Y CIENCIA EN MATERIA DE APLICACIÓN DE PROGRAMAS DE APOYO A CENTROS DE EDUCACIÓN PRIMARIA Y SECUNDARIA (P.R.O.A.)
2006;G;3;39;39048;C.Mº.IND. PLAN AVANZA;CONVENIO CON EL MINISTERIO DE INDUSTRIA, TURISMO Y COMERCIO PARA FOMENTO TIC. PLAN AVANZA
2006;G;3;39;39049;PROG. USO RAC. MEDICAMENT;PROGRAMA USO RACIONAL DEL MEDICAMENTO
2006;G;3;39;39050;AHORRO Y DIVERS. ENERGET.;FOMENTO DEL AHORRO Y DIVERSIFICACIÓN ENERGÉTICA
2006;G;3;39;39051;CONV.MºEDUC.DIFUS.F.P.;CONVENIO CON EL MINISTERIO DE EDUCACIÓN Y CIENCIA. DIFUSIÓN FORMACIÓN PROFESIONAL
2006;G;3;39;39052;CONV. CNIG S.INF.OC.SUELO;CONVENIO CON EL CENTRO NACIONAL DE INFORMACIÓN GEOGRÁFICA PARA ELABORACIÓN DE UN SISTEMA DE INFORMACIÓN SOBRE OCUPACIÓN DEL SUELO
2006;G;3;39;39053;PROYECTOS INVESTIGACIÓN;
2006;G;3;39;39054;AY.P. VÍCT.VIOL.GÉN. EMPL;AYUDAS PÚBLICAS A MUJERES VÍCTIMAS DE VIOLENCIA DE GÉNERO CON ESPECIALES DIFICULTADES DE EMPLEO
2006;G;3;39;39055;C.S. EDUC. BIBLIOT. ESCOL;CONFERENCIA SECTORIAL DE EDUCACIÓN - BIBLIOTECAS ESCOLARES
2006;G;3;39;39056;IGUALDAD OPORT.JÓVENES;IGUALDAD OPORTUNIDADES LOS/LAS JÓVENES
2006;G;3;39;39057;MºEDUC. FIN.EDUC.INF.CON.;MºEDUCACIÓN - FINANCIACIÓN DE 2º CICLO DE EDUCACIÓN INFANTIL DE ENSEÑANZA CONCERTADA
2006;G;3;39;39058;C.Mº CULT ADQ.FDO BIBLIOG;CONVENIO CON EL MINISTERIO DE CULTURA PARA DISTRIBUCIÓN DE CRÉDITO PARA LA ADQUISICIÓN DE FONDO BIBLIOGRÁFICO DE BIBLIOTECAS MUNICIPALES
2006;G;3;39;39059;C.S.EDUC. LIBROS Y MATER.;CONFERENCIA SECTORIAL DE EDUCACIÓN - PROGRAMA DE LIBROS Y MATERIAL ESCOLAR
2006;G;3;39;39060;Mº EDUC.ESP.EUR.EDUC.SUP;Mº EDUC. ADAPTACIÓN DE LAS INSTITUCIONES UNIVERSITARIAS AL ESPACIO EUROPEO DE EDUCACIÓN SUPERIOR
2006;G;3;39;39061;CONV ACCS. AUTOBUSES INT;CONVENIO ACCS. AUTOBUSES INTERURBANO
2006;G;3;39;39062;C.S. EDU. PRG. LENGUAS EX;C.S. EDUC. PROGRAMA LENGUAS EXTRANJERAS (PALE)
2006;G;3;39;39063;AYUDA NAL. NOVILLAS;AYUDA NACIONAL POR NOVILLAS
2006;G;3;39;39064;Transf. MEC Conf. APAS;Transf. MEC Conf. APAS y otros colectivos
2006;G;3;39;39065;Prog. Prioritarios S y C;Programas Prioritarios Sanidad y Consumo
2006;G;3;39;39066;RECUPERA. ACEITES USADOS;RECUPERACIÓN ACEITES USADOS
2006;G;3;39;39067;Prácticas seguras Cntr. S;Prácticas seguras Centros Sanitarios
2006;G;5;51;51006;AMPL.RED TTES INSTITUC.;AMPLIACIÓN RED DE TRANSPORTE INSTITUCIONAL
2006;G;5;55;55001;SUBV INAEM ESC TALL;SUBVENCIÓN INAEM PARA ESCUELAS TALLER
2006;G;5;55;55002;CONV. CON EL SALUD;CONVENIO INVESTIGACIÓN CON SALUD
2006;G;5;55;55003;SUBV INAEM OR.Y AUTOEMPL.;SUBVENCIONES DEL INAEM: ORIENTACIÓN PROFESIONAL DEL EMPLEO Y AUTOEMPLEO
2006;G;5;55;55004;T.IACS ENSAYOS CLÍNICOS;TRANSFERENCIA DEL.INSTITUTO ARAGONÉS DE CIENCIAS DE LA SALUD - ENSAYOSCLÍNICOS
2006;G;5;55;55005;FORM. CONTINUA M.I.R;FORMACIÓN CONTINUA DE MÉDICOS INTERNOS RESIDENTES
2006;G;5;55;55006;Grupos Investig. SALUD;GRUPOS INVESTIGACIÓN SALUD
2006;G;5;55;55007;PROY.INV.CONV.COMP.DGA;PROYECTOS DE INVESTIGACIÓN. CONVOCATORIAS COMPETITIVAS DIPUTACIÓN GENERAL DE ARAGÓN
2006;G;7;71;71001;C.CAIXA HOGARES MAY.;CONVENIO CAIXA - HOGARES DE MAYORES
2006;G;7;71;71002;CONV.ADQ.FDO BIBLIO.;CONVENIO ADQUISICIÓN DE FONDO BIBLIOGRÁFICO
2006;G;7;71;71003;Conv. Ibercaja Atlas var.;Convenio con Ibercaja para realización del Atlas de variaciones de la práctica médica en el Sistema Nacional de Salud
2006;G;7;71;71004;Patrocinio Juegos Escolar;
2006;G;7;71;71005;CONV. MONAST. DE SIJENA;CONVENIO CAJA MADRID- RESTAURACIÓN DEL MONASTERIO DE SIJENA
2006;G;7;72;72001;PROM.FARM.ENSAY;PROMOTORES FARMACÉUTICOS - ENSAYOS CLÍNICOS
2006;G;7;72;72002;PROGRAMAS FOCUSS;PROGRAMAS FOCUSS
2006;G;7;72;72003;ESTUD.GAUCHER;FUND.ESP. ESTUDIO ENFERMEDAD GAUCHER
2006;G;7;72;72004;AS.ESP.TOXICOLOGÍA;ASOCIACIÓN ESPAÑOLA DE TOXICOLOGÍA
2006;G;7;72;72005;FUND.LA MARATO TV3;FUNDACIÓN LA MARATO TV3
2006;G;7;72;72006;FUND.MUTUA MADRIL.;FUNDACIÓN MUTUA MADRILEÑA
2006;G;7;72;72007;PROM.PRIV.CURSOS;PROMOTORES PRIVADOS DE CURSOS
2006;G;7;72;72008;HERENCIA ELÍAS MARTÍNEZ S;HERENCIA ELÍAS MARTÍNEZ SANTIAGO
2006;G;7;72;72009;PROMOTORES PRIVADOS;
2006;G;7;72;72010;HERENC.HOSP.NªSªGRACIA;HERENCIAS HOSPITAL PROVINCIAL Nª SRª DE GRACIA
2006;G;9;91;91001;REC. PROPIOS COFIN.;RECURSOS PROPIOS COFINANCIADORES
2006;G;9;91;91002;RECURSOS PROPIOS;RECURSOS PROPIOS
2006;G;9;91;91003;ING.FINANC.INCOND.;INGRESOS. FINANCIACIÓN INCONDICIONADA
2006;G;9;91;91004;RMTE.TES.NO AFEC.;REMANENTE DE TESORERÍA NO AFECTADO
2006;I;1;;;UNIÓN EUROPEA;UNIÓN EUROPEA
2006;I;3;;;ADMINISTR. CENTRAL;ADMINISTRACIÓN CENTRAL
