EJERCICIO;GRUPO;FUNCION;SUBFUNCION;PROGRAMA;DESCRIPCION CORTA;DESCRIPCION LARGA
2006;0;;;;Deuda Pública;Deuda Pública
2006;1;;;;Srvcios Carácter General;Servicios de Carácter General
2006;3;;;;Seg Protecc y Prom Social;Seguridad, Protección y Promoción Social
2006;4;;;;Prod.Bienes Púb. c.social;Producción de Bienes Públicos de Carácter Social
2006;5;;;;Prod.Bien P carac.econom.;Producción de Bienes Públicos de Carácter Económico
2006;6;;;;Reg Econom Caráct General;Regulación Económica de Carácter General
2006;7;;;;Reg Econ Sect Productivos;Regulación Económica de Sectores Productivos
2006;9;;;;Transfer a otras AA.PP.;Transferencias a otras Administraciones Públicas
2006;0;01;;;Deuda Pública;Deuda Pública
2006;1;11;;;Alta Dirección C.A. y Gob;Alta Dirección de la Comunidad Autónoma y del Gobierno
2006;1;12;;;Administración General;Administración General
2006;1;13;;;Cooperación Internacional;Cooperación Internacional
2006;3;31;;;Seg. y Protección Social;Seguridad y Protección Social
2006;3;32;;;Promoción Social;Promoción Social
2006;4;41;;;Sanidad;Sanidad
2006;4;42;;;Educación;Educación
2006;4;43;;;Vivienda y Urbanismo;Vivienda y Urbanismo
2006;4;44;;;Bienestar Comunitario;Bienestar Comunitario
2006;4;45;;;Cultura;Cultura
2006;4;46;;;Otros Srvcios Com. y Soc.;Otros Servicios Comunitarios y Sociales
2006;5;51;;;Infraestructuras Básicas;Infraestructuras Básicas y del Transporte
2006;5;53;;;Infraestructuras Agrarias;Infraestructuras Agrarias
2006;5;54;;;Invest Cient, Téc y Aplic;Investigación Científica, Técnica y Aplicada
2006;5;55;;;Inform Básica y Estadíst;Información Básica y Estadística
2006;6;61;;;Act Económicas Generales;Actuaciones Económicas Generales
2006;6;62;;;Comercio;Comercio
2006;6;63;;;Actividad Financiera;Actividad Financiera
2006;6;64;;;Otras act. carácter econ.;Otras actuaciones de carácter económico
2006;7;71;;;Agricultura y Ganadería;Agricultura y Ganadería
2006;7;72;;;Industria;Industria
2006;7;73;;;Energía y Minas;Energía y Minas
2006;7;75;;;Turismo;Turismo
2006;9;91;;;Transfer AA.PP. Territ;Transferencias a Administraciones Públicas Territoriales
2006;0;01;011;;Deuda Pública;Deuda Pública
2006;1;11;111;;Alta Dirección (Cortes);Alta Dirección de la Comunidad Autónoma (Cortes de Aragón)
2006;1;11;112;;Alta Dirección(Pr. D.G.A);Alta Dirección de la Comunidad Autónoma (Presidencia de la Diputación General de Aragón)
2006;1;12;121;;Servicios Generales;Servicios Generales
2006;1;12;122;;Funcion Pública;Funcion Pública
2006;1;12;123;;Formac y perfecc personal;Formación y Perfeccionamiento del personal (Instituto Aragonés de Administración Pública)
2006;1;12;125;;Gastos relat. Admón.Local;Gastos relativos a la Administración Local
2006;1;12;126;;Otros Servicios Generales;Otros Servicios Generales
2006;1;13;134;;Cooperación Internacional;Cooperación Internacional
2006;3;31;311;;Admón y Promoción Social;Administración y Promoción Social
2006;3;31;313;;Acción Social;Acción Social
2006;3;31;315;;Relaciones Laborales;Relaciones Laborales
2006;3;32;322;;Promoción del Empleo;Promoción del Empleo
2006;3;32;323;;Promoción Sociocultural;Promoción Sociocultural
2006;3;32;324;;Acción favor Inmigrantes;Acción en favor de los Inmigrantes
2006;4;41;411;;Admón General Sanidad;Administración General de Sanidad
2006;4;41;412;;Hosp,Svcios, Asist y Cent;Hospitales, Servicios, Asistencias y Centros de Salud
2006;4;41;413;;Acciones Públicas Salud;Acciones Públicas relativas a la Salud
2006;4;42;421;;Admón General Educación;Administración General de Educación
2006;4;42;422;;Enseñanza;Enseñanza
2006;4;42;423;;Becas y Ayudas;Becas y Ayudas
2006;4;43;431;;Vivienda;Vivienda
