EJERCICIO;GRUPO;FUNCION;SUBFUNCION;PROGRAMA;DESCRIPCION CORTA;DESCRIPCION LARGA
2006;4;43;432;;Urbanismo y Arquitectura;Urbanismo y Arquitectura
2006;4;44;442;;Protecc y Medio Ambiente;Protección y Medio Ambiente
2006;4;44;443;;Otros Srvcios Bstar Com.;Otros servicios de Bienestar Comunitario
2006;4;45;452;;Archivos,Bibliot y Museos;Archivos, Bibliotecas y Museos
2006;4;45;455;;Promoción Cultural;Promoción Cultural
2006;4;45;457;;Deportes y Educ Física;Deportes y Educación Física
2006;4;45;458;;Patr. Hist-Artíst y Arqu.;Patrimonio Histórico-Artístico y Arqueológico
2006;4;46;463;;Asoc y Partic. Ciudadana;Asociación y Participación Ciudadana
2006;5;51;511;;Admón G. Infr. Básic.Tte;Administración General de Infraestructuras Básicas y del Transporte
2006;5;51;512;;Recursos Hidraúlicos;Recursos Hidraúlicos
2006;5;51;513;;Transporte Terrestre;Transporte Terrestre
2006;5;53;531;;Reforma y Dllo Agrario;Reforma y Desarrollo Agrario
2006;5;53;533;;Mejora del Medio Natural;Mejora del Medio Natural
2006;5;54;541;;Admón General C.T.U.;Administración General de Ciencia, Tencología y Universidad
2006;5;54;542;;Invest Técnica y Aplicada;Investigación Técnica y Aplicada
2006;5;55;551;;Estadís, Cartogr y Meteor;Estadística, Cartografía y Meteorología
2006;6;61;611;;Admón Gen. Ec.,Hcda.,Empl;Administración General de Economía, Hacienda y Empleo
2006;6;61;612;;Regulac Económica General;Regulación Económica General
2006;6;61;615;;Asuntos de la C.E;Asuntos de la Comunidad Europea
2006;6;62;622;;Comercio Interior;Comercio Interior
2006;6;62;623;;Comercio Exterior;Comercio Exterior
2006;6;63;631;;Administración Financiera;Administración Financiera
2006;6;64;641;;Junta Contratación Adtva.;Junta de Contratación Administrativa
2006;6;64;642;;Defensa de la Competencia;Defensa de la Competencia
2006;7;71;711;;Admón General Agricultura;Administración General de Agricultura y Alimentación
2006;7;71;712;;Promoción Población Rural;Promoción de la Población Rural
2006;7;71;716;;Calidad y Segur Alimentar;Calidad y Seguridad Alimentaria
2006;7;72;721;;Admón General Industria;Administración General de Industria
2006;7;72;722;;Act Admtva sobre Industr;Actuaciones Administrativas sobre Industria
2006;7;72;723;;Apoyo a la PYME;Apoyo a la Pequeña y Mediana Empresa
2006;7;73;731;;Planif y Prod Energ y Min;Planificación y Producción Energética y Minera
2006;7;75;751;;Ordción y Prom Turística;Ordenación y Promoción Turistica
2006;9;91;911;;Transfer AA.PP. Comarcal;Transferencias a Administraciones Comarcales
2006;0;01;011;0111;Amortiz. y gastos Deuda;Amortización y Gastos Financieros de la Deuda
2006;1;11;111;1111;Cortes de Aragón;Cortes de Aragón (Actividad Legislativa)
2006;1;11;111;1112;Actuaciones del Justicia;Actuaciones del Justicia de Aragón
2006;1;11;111;1113;Aljafería;Aljafería
2006;1;11;111;1114;Act. Cámara de Cuentas;Actuaciones de la Cámara de Cuentas de Aragón
2006;1;11;112;1121;Presidencia y Órg Presid;Presidencia y Órganos de la Presidencia
2006;1;11;112;1125;Comisión Jurídica Asesora;Comisión Jurídica Asesora
2006;1;12;121;1211;Servicios Generales PRI;Servicios Generales de Presidencia y Relaciones Institucionales
2006;1;12;121;1212;Serv.Centr,Edif e Instal.;Servicios Centrales, Edificios e Instalaciones
2006;1;12;121;1213;Serv.Seg y Protec Civil;Servicios de Seguridad y Protección Civil
2006;1;12;121;1214;Ordenación Administrativa;Ordenación Administrativa
2006;1;12;121;1215;Servicios de Interior;Servicios de Interior
2006;1;12;121;1216;Com.Aragonesas Exterior;Comunidades Aragonesas del Exterior
2006;1;12;121;1219;U.Policía Nacional ads.CA;Unidad de la Policía Nacional adscrita a la Comunidad Autónoma
2006;1;12;122;1221;Direc y Adm Func. Pública;Dirección y Administración de la Función Pública
2006;1;12;123;1231;Selec, Form y Perf Person;Selección, Formación y Perfeccionamiento del Personal
2006;1;12;125;1251;Apoyo a la Admón. Local;Apoyo a la Administración Local
2006;1;12;125;1252;Política Territorial;Política Territorial
2006;1;12;125;1259;Cooperación Policía Local;Cooperación con la Policía Local
2006;1;12;126;1261;Serv.Coord.Admva.Huesca;Servicios de Coordinación Administrativa en Huesca
2006;1;12;126;1262;Serv.Coord.Admva.Teruel;Servicios de Coordinación Administrativa en Teruel
2006;1;12;126;1263;Servicios Jurídicos;Servicios Jurídicos
2006;1;12;126;1264;Inform.Ciud y Docum Admva;Información Ciudadana y Documentación Administrativa
2006;1;12;126;1265;Servicios Telemáticos;Servicios Telemáticos
2006;1;12;126;1266;TV y Radio Autonómicas;Televisión y Radio Autonómicas
2006;1;13;134;1341;Cooperación al Desarrollo;Cooperación al Desarrollo
2006;3;31;311;3111;Serv. G. S.Social y Fam.;Servicios Generales de Servicios Sociales y Familia
2006;3;31;313;3131;Prest. Asist y Serv Soc;Prestaciones Asistenciales y Servicios Sociales
2006;3;31;313;3132;Gestión y Dllo Acción Soc;Gestión y Desarrollo de la Acción Social
2006;3;31;313;3133;Política  Apoyo Familia;Política Integral de Apoyo a la Familia
2006;3;31;313;3134;Atención a la dependencia;Atención a la dependencia
2006;3;31;313;3135;Acc Social a favor person;Acción Social en Favor del Personal
2006;3;31;315;3151;Relaciones Laborales;Relaciones Laborales
2006;3;32;322;3221;Fomento del Empleo. INAEM;Fomento del Empleo. Instituto Aragonés de Empleo
2006;3;32;322;3222;Fomento del Empleo EE.TT.;Fomento del Empleo. Escuelas Taller
2006;3;32;322;3225;Fomento del Empleo;Fomento del Empleo
2006;3;32;322;3229;Consejo Econom y Social;Consejo Económico y Social de Aragón
2006;3;32;323;3231;Promoción de la Juventud;Promoción de la Juventud
2006;3;32;323;3232;Promoción de la Mujer;Promoción de la Mujer
2006;3;32;324;3241;Apoyo a la Inmigración;Apoyo a la Inmigración
2006;4;41;411;4111;Svcios G. Salud y Consumo;Servicios Generales de Salud y Consumo
2006;4;41;412;4121;Asistencia Sanitaria;Asistencia Sanitaria
2006;4;41;412;4124;Prod.comp.sanguín. y tej.;Producción de componentes sanguíneos y de tejidos para uso sanitario
2006;4;41;413;4131;Protecc y Promoción Salud;Protección y Promoción de la Salud
2006;4;41;413;4133;Form,Invest, Ases. y Coop;Formación, Investigación, Asesoría y Cooperación en materia de Salud
2006;4;41;413;4134;Salud Pública;Salud Pública
2006;4;42;421;4211;Svcios G. Educ,Cult y Dep;Servicios Generales de Educación, Cultura y Deporte
2006;4;42;421;4212;Gestión de Personal;Gestión de Personal
2006;4;42;422;4221;Educ Infantil y Primaria;Educación Infantil y Primaria
2006;4;42;422;4222;Educ Secundaria y FP;Educación Secundaria y Formación Profesional
2006;4;42;422;4223;Educación Especial;Educación Especial
2006;4;42;422;4224;Enseñanzas Artísticas;Enseñanzas Artísticas
2006;4;42;422;4225;Educación Permanente;Educación Permanente
2006;4;42;422;4226;Plan Aragonés de F.P.;Plan Aragonés de Formación Profesional
2006;4;42;422;4227;Formación del Profesorado;Formación del Profesorado
2006;4;42;422;4228;Educación Universitaria;Educación Universitaria
2006;4;42;422;4229;Eval. Calidad Enseñanza S;Evaluación de la calidad de la Enseñanza Superior
2006;4;42;423;4231;Plan. y Ordción Educativa;Planificación y Ordenación Educativa
2006;4;43;431;4311;Prom y Admón.Viviendas;Promoción y Administración de Viviendas
2006;4;43;432;4321;Urbanismo;Urbanismo
2006;4;43;432;4323;Arquitectura y Rehabil.;Arquitectura y Rehabilitación
2006;4;44;442;4421;Srvcios G. Medio Ambiente;Servicios Generales de Medio Ambiente
2006;4;44;442;4422;Protecc y Mejor Medio Amb;Protección y Mejora del Medio Ambiente
2006;4;44;442;4423;Gestión Ambiental;Gestión Ambiental
2006;4;44;443;4431;Control del Consumo;Control del Consumo
2006;4;45;452;4521;Archivos y Museos;Archivos y Museos
2006;4;45;452;4522;Gestión de Bibliotecas;Gestión de Bibliotecas
2006;4;45;455;4553;Prom y Acción Cultural;Promoción y Acción Cultural
2006;4;45;457;4571;Fom y apoyo Activ. Depor;Fomento y apoyo a la Actividad Deportiva
2006;4;45;458;4581;Prot Difusión Patrim Cult;Protección y Difusión del Patrimonio Cultural
2006;4;46;463;4631;Elecc. Institucionales;Eleccciones Institucionales
2006;5;51;511;5111;S Grales, OP, Urb.y Ttes.;Servicios Generales de Obras Publicas, Urbanismo y Transportes
2006;5;51;512;5121;Gest e Infr Recur Hidrául;Gestión e Infraestructura de Recursos Hidráulicos
2006;5;51;513;5131;Carreteras;Carreteras
2006;5;51;513;5132;Transportes;Transportes
2006;5;53;531;5311;Mej Estr Agrar y Dllo Rur;Mejora de Estructuras Agrarias y Desarrollo Rural
2006;5;53;533;5331;Prot y mejora Medio Nat.;Protección y mejora del Medio Natural
2006;5;54;541;5411;Svcios G. Cienc,Tecn,Univ;Servicios Generales de Ciencia, Tecnología  y Universidad
2006;5;54;542;5421;Invest Agroalimentaria;Investigación Agroalimentaria
2006;5;54;542;5422;Inv Tecnolog Aplic Indust;Investigación y Tecnología Aplicada a la Industria
2006;5;54;542;5423;Inves, Dllo e Innovac Tec;Investigación, Desarrollo e Innovación Tecnológica
2006;5;54;542;5424;Inves y Dllo Soc Infor;Investigación y Desarrollo para la Sociedad de la Información
2006;5;55;551;5511;Elab y difus Estadística;Elaboración y Difusión Estadística
2006;6;61;611;6111;Svcios G. Ec,Hcda y Empl;Servicios Generales de Economía, Hacienda y Empleo
2006;6;61;612;6121;Planific.y Direcc Presup;Planificación y Dirección Presupuestaria
2006;6;61;612;6122;Promoción y Dllo Económ.;Promoción y Desarrollo Económico
2006;6;61;612;6123;Plan Minería del Carbón;Plan Minería del Carbón y Desarrollo Alternativo de las Comarcas Mineras
2006;6;61;612;6126;Apoyo Dllo Econ y Social;Apoyo al Desarrollo Económico y Social
2006;6;61;612;6129;Gastos no clasificados;Gastos no clasificados
2006;6;61;615;6152;Act Programas Europeos;Actuaciones relativas a Programas Europeos
2006;6;62;622;6221;Ordción y Prom Comercial;Ordenación y Promoción Comercial
2006;6;62;623;6231;Comer Ext y Rel Ec. Int.;Comercio Exterior y Relaciones Económicas Internacionales
2006;6;63;631;6311;Gestión e Inspec Tributos;Gestión e Inspección de Tributos
2006;6;63;631;6312;Control Interno y Contab;Control Interno y Contabilidad
2006;6;63;631;6313;Gestión del Patrimonio;Gestión del Patrimonio
2006;6;63;631;6314;Gestión de Tesorería;Gestión de Tesorería
2006;6;63;631;6315;Estudios Econ y Document;Estudios Económicos y Documentación
2006;6;64;641;6411;Junta Consult. Contrat.Ad;Junta Consultiva de Contratación Administrativa de la Comunidad Autónoma
2006;6;64;642;6421;Acts. Defensa Competencia;Actuaciones en materia de Defensa de Competencia
2006;7;71;711;7111;Svcios G. Agricult y Alim;Servicios Generales de Agricultura y Alimentación
2006;7;71;712;7121;Dllo Agroalim y Fmto Asoc;Desarrollo Agroalimentario y Fomento Asociativo
2006;7;71;712;7122;Coord y Gest Serv. Agroal;Coordinación y  Gestión de Servicios Agroalimentar
2006;7;71;712;7123;Producc Agr y Gest Ayudas;Producción Agraria y Gestión de Ayudas
2006;7;71;712;7128;Política Agraria Comunita;Política Agraria Comunitaria
2006;7;71;716;7161;Calidad y Segur Alimentar;Calidad y Seguridad Alimentaria
2006;7;72;721;7211;Svcios G. Ind,Com. y Tur.;Servicios Generales de Industria, Comercio y Turismo
2006;7;72;722;7221;Act Admtva sobre Industr;Actuaciones Administrativas sobre Industria
2006;7;72;723;7231;Fomento Industrial;Fomento Industrial
2006;7;73;731;7311;Fmto y Gestión Energética;Fomento y Gestión Energética
2006;7;73;731;7312;Apoyo a la Minería;Apoyo a la Minería
2006;7;75;751;7511;Ordción y Prom y Fmto Tur;Ordenación, Promoción y Fomento del Turismo
2006;9;91;911;9111;Transfer AA.PP. Comarcal;Transferencias a Administraciones Comarcales
2006;9;91;911;9112;Cohesión Comarcal;Cohesión Comarcal
