EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2006;12500;400002;91003;Fondo de suficiencia;1.016.869.308,00
2006;12500;400099;91003;Financiación Autonómica Liquidación Ejer.Anterior.;155.000.000,00
2006;12500;401000;91003;Servicios transferidos (Sección 32 P.G.E.);16.228.750,00
2006;12500;402099;39004;Otras subv Ind., Com y Turism y Cienc, Tecn y Univ;150.000,00
2006;12500;403000;34001;Ayudas complementarias a la Política Agraria Común;820.000,00
2006;12500;403001;91003;Gastos intervención de mercado;500.000,00
2006;12500;403004;91003;Estadística agraria;170.733,00
2006;12500;403099;34011;Otras subvenciones de Agricultura y Alimentación;120.000,00
2006;12500;403099;91003;Otras subvenciones de Agricultura y Alimentación;1.000.000,00
2006;12500;404000;39005;Ayudas a jubilación y reestructuración de empresas;360.000,00
2006;12500;404001;39023;Guarderías infantiles;630.621,53
2006;12500;404003;35005;Pensiones a ancianos y enfermos;300.000,00
2006;12500;404007;35006;Plan gerontológico mantenimiento de centros;1.683.000,00
2006;12500;404008;35008;Prevención de malos tratos a la infancia;46.000,00
2006;12500;404010;35007;Plan acción integral de personas con discapacidad;172.000,00
2006;12500;404011;35001;Apoyo a familias monoparentales;312.000,00
2006;12500;404013;35002;Información sobre acción social;12.020,00
2006;12500;404014;35003;Mediación familiar;102.000,00
2006;12500;404015;35009;Prevención violencia familiar;60.000,00
2006;12500;404016;35004;Menores infractores;93.000,00
2006;12500;404018;35010;Plan estatal de voluntariado;112.000,00
2006;12500;404019;39006;Plan de integración social de inmigrantes;1.491.190,00
2006;12500;404099;91003;Otras subv. Empleo y de Servicios Sociales;6.005.372,78
2006;12500;405001;39015;Fomento de la donación y trasplante de órganos;66.074,00
2006;12500;405002;39017;Prevención del S.I.D.A.;152.165,00
2006;12500;405003;39018;Actuaciones en drogodependencias;816.823,00
2006;12500;405004;39019;Prevención de enfermedades emergentes;82.170,00
2006;12500;405005;39016;Junta Arbitral de Consumo;14.800,00
2006;12500;405006;39027;Políticas de cohesión y estrategias de salud;1.006.328,00
2006;12500;405006;91003;Políticas de cohesión y estrategias de salud;1.500.000,00
2006;12500;405099;91003;Otras subvenciones en materia de Salud y Consumo;23.080.000,00
2006;12500;407003;39024;Funcionamiento de centros docentes;31.338,00
2006;12500;407005;39021;Jubilaciones de personal docente (D.T. 9ª LOGSE);1.167.649,00
2006;12500;407013;39025;Plan rest,utiliz. Educat. pueblos abandon.:Bubal;92.159,00
2006;12500;407014;39033;Rutas literarias;32.440,88
2006;12500;408000;39002;Seguridad Minera;30.000,00
2006;12500;412001;55001;Escuelas Taller;100.426,00
2006;12500;420000;91003;"Fondo programa de ""Ahorro e incapacida temporal""";8.517.805,00
2006;12500;460000;91003;Transf. de la Diputación Provincial de Huesca;3.585.720,85
2006;12500;460001;91003;Transf. de la Diputación Provincial de Zaragoza;2.989.227,25
2006;12500;460002;91003;Transf. de la Diputación Provincial de Teruel;2.174.251,12
2006;12500;491000;12001;Agricultura -Política Agraria Común;454.119.000,00
2006;12500;491009;12002;Agricultura- Otras subvenciones corrientes;864.955,00
2006;12500;492000;14001;Fondo Europeo de Desarrollo Regional. Objetivo 2;3.275.625,30
2006;12500;492000;14002;Fondo Europeo de Desarrollo Regional. Objetivo 2;187.500,00
2006;12500;492001;14002;Iniciativa Comunitaria INTERREG III;84.689,05
2006;12500;493000;11001;Fondo Social Europeo- Objetivo 3;1.828.036,40
2006;12500;493000;11002;Fondo Social Europeo- Objetivo 3;2.964.517,95
2006;12500;493000;11003;Fondo Social Europeo- Objetivo 3;4.295.928,73
2006;12500;493000;11004;Fondo Social Europeo- Objetivo 3;459.774,00
2006;12500;493000;11007;Fondo Social Europeo- Objetivo 3;370.420,00
2006;12500;493001;11009;Iniciativa Comunitaria EQUAL;1.399.614,72
2006;12500;499000;19001;Punto de Información Europea;20.000,00
2006;12500;499099;91003;Otras subvenciones del exterior;37.000.000,00
2006;12500;520000;91003;Intereses;2.508.000,00
2006;12500;520050;91003;De las Cortes de Aragón;150.000,00
2006;12500;530000;91003;De organismos y empresas;425.000,00
2006;12500;540001;91003;Renta de inmuebles de Economía, Hacienda y Empleo;100.000,00
2006;12500;540008;91003;Arrendamientos de locales;6.000,00
2006;12500;540009;91003;Alquileres de viviendas;500.000,00
2006;12500;550001;91003;Cánones de concesiones;3.500.000,00
2006;12500;552003;91003;De protección y gestión de los montes;1.923.602,00
2006;12500;552009;91003;Otros aprovechamientos;17.000,00
2006;12500;553000;91003;Cánones de I.T.V. privadas;3.500.000,00
2006;12500;553001;91003;Cánones de explotación de hospederías;16.000,00
2006;12500;553002;91003;Cánones Presidencia y Relaciones Institucionales;25.000,00
2006;12500;553009;91003;Otros cánones;1.000.000,00
2006;12500;590000;91003;Ingresos por viviendas de promoción pública;7.500.000,00
2006;12500;590001;91003;Ingresos por otras viviendas de promoción pública;1.000.000,00
2006;12500;590003;91003;Venta de locales;250.000,00
2006;12500;600009;91003;Otras ventas de terrenos;21.000.000,00
2006;12500;610000;91003;Venta de inversiones reales- Varios;11.000.000,00
2006;12500;702009;36003;Otras subvenciones en materia de Medio Ambiente;921.290,00
2006;12500;702009;36004;Otras subvenciones en materia de Medio Ambiente;1.252.871,00
2006;12500;702009;36005;Otras subvenciones en materia de Medio Ambiente;139.050,00
2006;12500;702009;36006;Otras subvenciones en materia de Medio Ambiente;335.780,00
2006;12500;702009;36007;Otras subvenciones en materia de Medio Ambiente;295.253,08
2006;12500;702009;39032;Otras subvenciones en materia de Medio Ambiente;1.250.000,00
2006;12500;703009;39009;Otras subvenciones de Economía y Hacienda;8.610.182,00
2006;12500;704002;39001;Plan de vivienda;8.246.957,00
2006;12500;704002;39010;Plan de vivienda;100.000,00
2006;12500;704099;39036;Otras subvenciones de Fomento;456.680,40
2006;12500;704099;91003;Otras subvenciones de Fomento;15.000.000,00
2006;12500;705000;34028;Maquinaria y medios de producción;762.000,00
2006;12500;705002;34029;Reestructuración,reconversión olivar y viñedo;95.000,00
2006;12500;705005;34020;Mejora de explotaciones ganaderas extensivas;30.000,00
2006;12500;705006;34012;Campañas de sanidad animal;40.000,00
2006;12500;705006;34013;Campañas de sanidad animal;120.000,00
2006;12500;705006;34014;Campañas de sanidad animal;490.000,00
2006;12500;705006;34021;Campañas de sanidad animal;1.500.000,00
2006;12500;705007;34025;Agrupación Defensa Sanitaria de porcino;1.365.750,00
2006;12500;705008;34006;Apicultura;110.000,00
2006;12500;705009;34002;Otras subvenciones de capital;150.000,00
2006;12500;705009;34003;Otras subvenciones de capital;100.000,00
2006;12500;705009;34005;Otras subvenciones de capital;2.130.000,00
2006;12500;705009;34024;Otras subvenciones de capital;115.000,00
2006;12500;705009;34035;Otras subvenciones de capital;600.000,00
2006;12500;705009;91003;Otras subvenciones de capital;8.000.000,00
2006;12500;705010;34026;Agrup.Tratam. Integrado Agricultura (ATRIAS);200.000,00
2006;12500;705011;34019;Calidad de la carne;200.000,00
2006;12500;705012;34009;Agrupación de productos agrarios;22.500,00
2006;12500;705013;34015;Semillas y plantas de viveros;65.000,00
2006;12500;705014;34007;Cofinanciación del M.A.P.A.: Industria agraria;5.069.000,00
2006;12500;705016;34010;Cofinanciación M.A.P.A. para ayudas del I.F.O.P.;280.000,00
2006;12500;705017;34017;Lucha contra agentes nocivos;658.000,00
2006;12500;705017;34018;Lucha contra agentes nocivos;130.000,00
2006;12500;705018;34023;Control lechero;36.000,00
2006;12500;705020;34030;Forestación;950.000,00
2006;12500;705021;34004;Agroambientales;4.600.000,00
2006;12500;705022;34031;Cese anticipado;1.218.000,00
2006;12500;705023;34033;L.E.A.D.E.R. II;2.120.319,41
