EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2008;12500;100000;91003;Tarifa Autonómica del I.R.P.F.;816.736.377,55
2008;12500;110000;91003;Sobre adquisiciones por herencia o legado;125.461.900,00
2008;12500;110003;91003;Donaciones;9.738.100,00
2008;12500;111000;91003;Sobre el patrimonio neto de las personas físicas;67.000.000,00
2008;12500;112000;91003;Sobre Grandes superficies;4.600.000,00
2008;12500;113000;91003;Sobre emisiones contaminantes;11.500.000,00
2008;12500;114000;91003;Sobre tendidos aéreos;850.000,00
2008;12500;200000;91003;Sobre Transmisiones Patrimoniales Onerosas;252.265.108,00
2008;12500;200001;91003;Sobre Operaciones Societarias;13.008.876,00
2008;12500;200002;91003;Sobre Transmisiones de vehículos;5.526.016,00
2008;12500;201000;91003;Efectos timbrados y otros;234.317.071,00
2008;12500;201001;91003;Exceso letras de cambio;13.387.929,00
2008;12500;210001;91003;I.V.A. Sobre Operaciones Internas;730.958.884,29
2008;12500;220000;91003;Sobre el alcohol y bebidas derivadas;15.575.597,76
2008;12500;220001;91003;Sobre Cerveza;3.935.066,33
2008;12500;220003;91003;Sobre labores de tabaco;83.642.248,16
2008;12500;220004;91003;S/ venta minorista de determinados hidrocarburos;44.320.000,00
2008;12500;220005;91003;Sobre determinados medios de transporte;45.856.000,00
2008;12500;220006;91003;Sobre productos intermedios;318.989,39
2008;12500;220007;91003;Sobre energía (electricidad);46.947.061,22
2008;12500;220008;91003;Sobre hidrocarburos;188.159.545,71
2008;12500;300003;91003;Venta de Bienes de Agricultura y Alimentación;17.000,00
2008;12500;300007;91003;Venta de Bienes de Educación, Cultura y Deporte;1.339,00
2008;12500;300050;91003;Venta de Bienes de Cortes de Aragón;9.000,00
2008;12500;301007;91003;Venta de Publicac. de Educación, Cultura y Deporte;66.950,00
2008;12500;301050;91003;Venta de Publicac. de Cortes de Aragón;12.000,00
2008;12500;302000;91003;Venta de cartones de bingo;690.000,00
2008;12500;312001;91003;Prestación de Servicios en Cartografía;80.000,00
2008;12500;312002;91003;Suscripión y venta del Boletín Oficial de Aragón;110.000,00
2008;12500;313000;91003;Cuotas alumnos Escuelas de Capacitación Agraria;10.000,00
2008;12500;315001;91003;Prestación de Servicios en residencias;515.000,00
2008;12500;316008;91003;Prestación de Servicios en guarderías;600.000,00
2008;12500;319000;91003;Otras Prest. de Svcios de Presidencia;6.000,00
2008;12500;319005;91003;Otras Prest. de Svcios de Salud y Consumo;3.002.166,14
2008;12500;319007;91003;Otras Prest. de Svcios de Educ.,Cultura y Deporte;2.034.250,00
2008;12500;319008;91003;Otras Prest. de Svcios de Medio Ambiente;19.457,00
2008;12500;319050;91003;Otras Prest. de Svcios de las Cortes de Aragón;90.000,00
2008;12500;320004;91003;Tasa 04- Por Autorizaciones Espectáculos Públicos;20.678,56
2008;12500;320019;91003;Tasa 19- Por Servicios Admvos. y técnicos de juego;848.402,20
2008;12500;320022;91003;Tasa 22- Inserción de Anuncios en el B.O.A.;927.540,00
2008;12500;320023;91003;Tasa 23- Inscr.Public. Asociac.,Fundac.,CCPP,Cons.;29.334,54
2008;12500;320024;91003;Tasa 24- Derechos de examen de pruebas selectivas;225.050,00
2008;12500;320032;91003;Tasa 32- Act. Adm. al serv.Radiodifusión y TV;38.745,44
